/* DATA DESCRIPTION:
Citation:	Van Tiggelen, Maurice; Smeets, Paul C J P; Reijmer, Carleen H; van As, Dirk; Box, Jason E; Fausto, Robert S; Khan, Shfaqat Abbas; Rignot, Eric; van den Broeke, Michiel R (2024): Daily surface energy balance (SEB) and quality-controlled meteorological quantities measured at station GRL_KPC_L on the Greenland ice sheet [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.970141, 
	In: Van Tiggelen, M et al. (2024): Daily surface energy balance (SEB) and quality-controlled meteorological quantities measured at 19 stations on the Greenland ice sheet (2003-2023) [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.970127
Abstract:	Daily averaged surface energy balance (SEB) components and meteorological quantities at 19 locations on the Greenland ice sheet. Three stations are located in the accumulation zone (S10, KAN_U and S21), while the other locations are in the ablation zone. Seven stations are part of the IMAU network , while the other stations are from the PROMICE network. The longest time series span between 2003 and 2023 (S5, S6 and S9, all located along the K-transect in West Greenland). The data contains modelled and measured turbulent heat fluxes, all four radiation components, daily melt energy, subsurface heat flux, air temperature, wind and humidity corrected at standard heights above the surface, height of the sensor, snow accumulation measured by a sonic height ranger, ice/snow ablation measured by a draw-wire, a pressure transducer depth assembly, or acoustic ranger mounted on a separate stake. Days with at least one missing sample are removed from the dataset.
Keyword(s):	automatic weather station; Greenland; surface energy balance
Related to:	Fausto, Robert S; van As, Dirk; Mankoff, Kenneth D; Vandecrux, Baptiste; Citterio, Michele; Ahlstrøm, Andreas P; Andersen, Signe B; Colgan, William; Karlsson, Nanna Bjørnholt; Kjeldsen, Kristian Kjellerup; Korsgaard, Niels J; Larsen, Signe H; Nielsen, Søren; Pedersen, Allan Ø; Shields, Christopher L; Solgaard, Anne M; Box, Jason E (2021): Programme for Monitoring of the Greenland Ice Sheet (PROMICE) automatic weather station data. Earth System Science Data, 13(8), 3819-3845, https://doi.org/10.5194/essd-13-3819-2021
	How, Penelope; Abermann, Jakob; Ahlstrøm, Andreas P; Andersen, Signe B; Box, Jason E; Citterio, Michele; Colgan, William; Fausto, Robert S; Karlsson, Nanna Bjørnholt; Jakobsen, Jette; Langley, Kirsty; Larsen, Signe H; Lund, Mads C; Mankoff, Kenneth D; Pedersen, Allan Ø; Rutishauser, Anja; Shield, C L; Solgaard, Anne M; van As, Dirk; Vandecrux, Baptiste; Wright, Patrick J (2022): PROMICE and GC-Net automated weather station data in Greenland [dataset]. GEUS Dataverse, https://doi.org/10.22008/FK2/IW73UU
	Smeets, Paul C J P; van den Broeke, Michiel R; Boot, Wim; Cover, Giorgio; Eijkelboom, Mark; Greuell, Wouter; Tijm-Reijmer, Carleen H; Snellen, Henk; van de Wal, Roderik S W (2022): Automatic weather station data collected from 2003 to 2021 at the Greenland ice sheet along the K-transect, West-Greenland [dataset publication series]. PANGAEA, https://doi.org/10.1594/PANGAEA.947483
	Van Tiggelen, Maurice; Smeets, Paul C J P; Reijmer, Carleen H; van As, Dirk; Box, Jason E; Fausto, Robert S; Khan, Shfaqat Abbas; Rignot, Eric; van den Broeke, Michiel R (2024): Surface energy balance closure over melting snow and ice from in situ measurements on the Greenland ice sheet. Journal of Glaciology, 1-11, https://doi.org/10.1017/jog.2024.68
Coverage:	LATITUDE: 79.910800 * LONGITUDE: -24.082800
	DATE/TIME START: 2008-07-17T00:00:00 * DATE/TIME END: 2024-01-03T00:00:00
	MINIMUM HEIGHT above ground: 2 m * MAXIMUM HEIGHT above ground: 10 m
Event(s):	GRL_KPC_L (KPC_L) * LATITUDE: 79.910800 * LONGITUDE: -24.082800 * DATE/TIME START: 2008-07-17T00:00:00 * DATE/TIME END: 2024-01-03T00:00:00 * ELEVATION: 370.0 m * LOCATION: Northeast Greenland Ice Sheet * METHOD/DEVICE: Automatic weather station (AWS) * COMMENT: PROMICE
Parameter(s):	HEIGHT above ground [m] (Height) * GEOCODE * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: height 1, see parameter comments
	HEIGHT above ground [m] (Height) * GEOCODE * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: height 2, see parameter comments
	DATE/TIME (Date/Time) * GEOCODE * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl)
	Temperature, air, daily mean [°C] (TTT day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Automatic weather station (AWS)
	Temperature, air, daily mean [°C] (TTT day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: corrected at 2m height
	Humidity, specific, daily mean [g/kg] (Humidity spec daily m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl)
	Humidity, specific, daily mean [g/kg] (Humidity spec daily m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: corrected at 2m height
	Humidity, relative, daily mean [%] (RH day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Automatic weather station (AWS)
	Humidity, relative, daily mean [%] (RH day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: corrected at 2m height
	Wind speed, daily mean [m/s] (ff day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Automatic weather station (AWS)
	Wind speed, daily mean [m/s] (ff day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: corrected at 10m height
	Pressure, atmospheric, daily mean [hPa] (PPPP day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Automatic weather station (AWS)
	Short-wave downward (GLOBAL) radiation, daily mean [W/m**2] (SWD day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Pyranometer (PYRA)
	Short-wave upward (REFLEX) radiation, daily mean [W/m**2] (SWU day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Pyranometer (PYRA)
	Long-wave downward radiation, daily mean [W/m**2] (LWD day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Pyrgeometer (PYRG)
	Long-wave upward radiation, daily mean [W/m**2] (LWU day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Pyrgeometer (PYRG)
	Heat, flux, sensible, modeled [W/m**2] (Qh mod) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: surface, positive downwards (SHFdown)
	Heat, flux, latent, modeled [W/m**2] (Qe mod) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: surface, positive downwards (LHFdown)
	Soil heat, flux, modeled [W/m**2] (Soil heat flux mod) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: subsurface, positive upwards (GHFup)
	Height [m] (Height) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: of sensor AWS boom above the surface (z_u)
	Surface temperature [°C] (Surf temp) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: from LWU and emissitivty = 1 (Ts_obs)
	Surface temperature [°C] (Surf temp) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: modelled using SEB model (Ts_mod)
	Melt energy [W/m**2] (Melt E) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: modelled daily melt energy using SEB model and Ts_mod (melt_mod)
	Height [m] (Height) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: of AWS boom above the surface measured by sonic Height ranger (z_boom)
	Height, stake [m] (H stake) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: above the surface measured by sonic Height ranger (z_stakes)
	Sensor depth [m] (Sensor depth) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: of pressure transducer assembly (z_pt_cor)
	Density, surface [mg/cm**3] (Surface den) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: estimated
	Melt energy [W/m**2] (Melt E) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, (melt_day_dz_boom)
	Melt energy [W/m**2] (Melt E) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, (melt_day_dz_stakes)
	Melt energy [W/m**2] (Melt E) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, (melt_day_dz_pt_cor)
	Height change [m] (Height change) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, due to snow accumulation estimated from dz_boom (acc_day)
	Melt energy [W/m**2] (Melt E) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, (melt_day_SEB)
	Height change [m] (Height change) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, due to melt estimated from sum of SEB when Tsmax > -2 C (melt_day)
	Height change [m] (Height change) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, due to sublimation from LHFdown (subl_day)
	Surface temperature [°C] (Surf temp) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: maximum daily, using LWu and emissivity ' 1 (Tsmax)
	Height change [m] (Height change) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, from sonic Height ranger on AWS boom (dz_boom)
	Height change [m] (Height change) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, from sonic Height ranger on separate stake (dz_stakes)
	Height change [m] (Height change) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, from pressure transducer assembly (dz_pt_cor)
	Number of samples [#] (Samples) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: valid hourly samples from SEB model
	Number of samples [#] (Samples) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: valid hourly samples from AWS data
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	150589 data points
*/
Height [m] (height 1, see parameter comments)	Height [m] (height 2, see parameter comments)	Date/Time	TTT day m [°C] (Automatic weather station)	TTT day m [°C] (corrected at 2m height)	Humidity spec daily m [g/kg]	Humidity spec daily m [g/kg] (corrected at 2m height)	RH day m [%] (Automatic weather station)	RH day m [%] (corrected at 2m height)	ff day m [m/s] (Automatic weather station)	ff day m [m/s] (corrected at 10m height)	PPPP day m [hPa] (Automatic weather station)	SWD day m [W/m**2] (Pyranometer)	SWU day m [W/m**2] (Pyranometer)	LWD day m [W/m**2] (Pyrgeometer)	LWU day m [W/m**2] (Pyrgeometer)	Qh mod [W/m**2] (surface, positive downwards (...)	Qe mod [W/m**2] (surface, positive downwards (...)	Soil heat flux mod [W/m**2] (subsurface, positive upwards ...)	Height [m] (of sensor AWS boom above the ...)	Surf temp [°C] (from LWU and emissitivty = 1 ...)	Surf temp [°C] (modelled using SEB model (Ts_...)	Melt E [W/m**2] (modelled daily melt energy us...)	Height [m] (of AWS boom above the surface...)	H stake [m] (above the surface measured by...)	Sensor depth [m] (of pressure transducer assemb...)	Surface den [mg/cm**3] (estimated)	Melt E [W/m**2] (daily, (melt_day_dz_boom))	Melt E [W/m**2] (daily, (melt_day_dz_stakes))	Melt E [W/m**2] (daily, (melt_day_dz_pt_cor))	Height change [m] (daily, due to snow accumulati...)	Melt E [W/m**2] (daily, (melt_day_SEB))	Height change [m] (daily, due to melt estimated ...)	Height change [m] (daily, due to sublimation fro...)	Surf temp [°C] (maximum daily, using LWu and ...)	Height change [m] (daily, from sonic Height rang...)	Height change [m] (daily, from sonic Height rang...)	Height change [m] (daily, from pressure transduc...)	Samples [#] (valid hourly samples from SEB...)	Samples [#] (valid hourly samples from AWS...)
2	10	2008-07-17	5.875	5.798	3.789	3.794	63.229	60.134	7.027	7.981	964.789	335.894	146.844	260.144	315.995	70.222	-4.635	-10.862	2.631	0.061	0.000	188.747	2.636	1.028	19.284	400.150	2.238	26.060		0.000	187.923	0.121	0.000	0.305	0.002	0.017	0.111	7	8
2	10	2008-07-18	5.817	5.673	3.616	3.624	60.510	57.941	8.273	9.317	964.131	334.153	144.719	257.166	315.750	82.747	-11.402	2.595	2.633	0.024	0.000	201.281	2.638	1.065	19.265	400.145				-0.001	204.791	0.132	0.001	0.447	-0.001	0.067	-0.086	24	24
2	10	2008-07-19	5.763	5.619	3.739	3.744	62.815	60.128	8.545	9.625	963.751	328.233	143.171	255.698	315.540	85.027	-7.231	2.591	2.639	-0.021	0.000	201.269	2.640	1.134	19.171	400.165	2.242	93.047		0.000	205.607	0.133	0.001	0.364	0.002	0.061	-0.099	24	24
2	10	2008-07-20	4.664	4.548	3.698	3.703	66.804	64.534	5.687	6.380	959.028	328.003	151.503	249.567	314.949	44.809	-5.322	5.078	2.638	-0.149	0.000	147.599	2.639	1.190	19.098	400.124				-0.003	155.684	0.101	0.000	0.235	-0.003	0.048	-0.051	24	24
2	10	2008-07-21	3.111	3.028	3.794	3.795	76.507	74.763	4.429	4.961	960.616	334.802	160.769	244.890	313.608	25.615	-0.255	6.558	2.638	-0.440	0.000	123.895	2.637	1.235	19.069	400.172				-0.006	137.234	0.089	0.000	-0.109	-0.006	0.037	-0.014	24	24
2	10	2008-07-22	2.969	2.891	3.772	3.773	77.564	75.868	4.307	4.823	969.716	276.355	132.956	260.387	313.763	23.908	-0.453	3.286	2.637	-0.406	0.000	107.310	2.637	1.269	19.051	400.169				-0.000	116.764	0.075	0.000	-0.081	-0.000	0.034	-0.022	24	24
2	10	2008-07-23	4.224	4.119	3.574	3.581	67.274	65.255	4.913	5.501	968.103	316.577	151.126	245.561	314.553	34.702	-6.045	3.758	2.637	-0.235	0.000	121.049	2.638	1.306	19.020	400.228				-0.004	128.874	0.083	0.000	0.121	-0.004	0.038	-0.047	24	24
2	10	2008-07-24	4.239	4.134	3.521	3.529	65.783	63.812	4.593	5.139	963.285	322.030	150.815	243.587	314.344	32.400	-6.415	3.755	2.631	-0.280	0.000	122.546	2.629	1.341	18.973	400.284				-0.013	130.196	0.084	0.000	0.139	-0.013	0.037	-0.041	24	24
2	10	2008-07-25	5.037	4.914	3.508	3.516	61.999	59.753	6.625	7.450	964.297	310.323	140.358	247.658	314.455	58.895	-9.199	4.186	2.617	-0.256	0.000	147.727	2.617	1.377	18.931	400.147				-0.005	157.050	0.102	0.001	0.188	-0.005	0.041	-0.041	24	24
2	10	2008-07-26	4.640	4.525	3.725	3.728	68.184	65.821	6.899	7.770	970.619	303.244	134.359	251.315	314.333	57.832	-3.788	4.457	2.607	-0.283	0.000	153.529	2.608	1.424	18.879	400.177				-0.018	164.368	0.106	0.000	0.050	-0.018	0.041	-0.054	24	24
2	10	2008-07-27	4.177	4.077	3.738	3.740	70.809	68.582	5.929	6.670	972.110	290.977	131.471	256.529	314.460	43.736	-2.027	5.145	2.593	-0.255	0.000	137.491	2.593	1.466	18.828	400.088				-0.019	148.430	0.096	0.000	0.135	-0.019	0.041	-0.052	24	24
2	10	2008-07-28	4.114	4.014	3.829	3.828	72.874	70.567	6.778	7.641	972.610	267.192	122.434	253.062	313.820	53.599	2.150	6.423	2.578	-0.394	0.000	129.967	2.577	1.503	18.778	400.135				-0.007	146.172	0.094	-0.000	-0.077	-0.007	0.037	-0.043	24	24
2	10	2008-07-29	3.684	3.593	3.665	3.667	72.264	70.280	6.031	6.798	977.662	293.409	136.530	246.429	313.433	43.191	-2.833	0.639	2.567	-0.478	0.000	120.322	2.567	1.541	18.738	400.109				-0.009	130.873	0.085	0.000	-0.176	-0.009	0.039	-0.044	24	24
2	10	2008-07-30	3.483	3.399	3.590	3.593	71.981	70.134	4.779	5.371	980.789	297.020	139.816	243.170	313.350	31.365	-3.533	-4.722	2.559	-0.496	0.000	106.826	2.556	1.575	18.701	400.208				-0.009	110.133	0.071	0.000	-0.240	-0.009	0.026	-0.027	24	24
2	10	2008-07-31	5.589	5.466	3.689	3.693	63.814	61.084	7.079	7.975	979.620	282.228	126.085	254.252	315.257	70.435	-5.129	-2.984	2.564	-0.082	0.000	158.764	2.561	1.613	18.663	400.213	37.919	81.393		0.000	157.460	0.102	0.000	0.311	0.025	0.053	-0.054	24	24
2	10	2008-08-01	5.930	5.795	3.851	3.851	64.793	61.813	8.198	9.250	976.244	262.608	111.101	257.801	315.700	84.745	-1.204	1.715	2.580	0.014	0.000	175.662	2.584	1.671	18.605	400.220	8.367	82.012		0.000	178.864	0.116	0.000	0.372	0.005	0.053	-0.066	24	24
2	10	2008-08-02	5.856	5.720	3.905	3.904	66.094	63.076	7.992	9.014	977.098	274.473	116.416	261.166	315.643	81.311	0.986	2.543	2.587	0.001	0.000	184.265	2.586	1.725	18.545	400.104				-0.005	188.419	0.122	-0.000	0.331	-0.005	0.053	-0.071	24	24
2	10	2008-08-03	6.219	6.076	4.217	4.210	69.546	66.078	7.941	8.949	974.868	168.309	70.648	297.291	317.581	84.249	10.833	0.000	2.593	0.419	0.000	174.398	2.597	1.778	18.484	400.235	30.209	74.769		0.000	172.453	0.111	-0.001	0.779	0.019	0.048	-0.053	24	24
2	10	2008-08-04	5.074	4.957	4.113	4.107	73.554	70.561	5.425	6.082	978.121	201.873	85.558	301.775	316.988	45.477	5.718	1.839	2.614	0.291	0.000	153.157	2.613	1.829	18.431	400.133	17.070	75.539		0.000	154.136	0.100	-0.000	0.818	0.011	0.048	-0.046	24	24
2	10	2008-08-05	5.347	5.218	4.041	4.037	70.787	67.812	7.295	8.211	976.314	198.081	84.901	278.278	316.086	66.725	4.863	1.129	2.624	0.097	0.000	146.555	2.626	1.874	18.385	400.171	10.783	62.761		0.000	148.089	0.096	-0.000	0.426	0.007	0.040	-0.050	24	24
2	10	2008-08-06	4.875	4.755	4.103	4.097	74.235	71.362	7.017	7.895	975.667	211.240	92.333	285.550	315.662	59.496	7.451	3.081	2.631	0.005	0.000	153.535	2.632	1.917	18.331	400.142	20.214	77.138		0.000	158.821	0.103	-0.001	0.345	0.013	0.049	-0.044	24	24
2	10	2008-08-07	4.377	4.264	3.958	3.955	73.832	71.342	6.499	7.308	970.989	253.429	112.782	254.795	314.244	52.110	3.757	5.781	2.631	-0.302	0.000	130.132	2.631	1.961	18.287	400.096				-0.010	142.845	0.092	-0.000	0.214	-0.010	0.045	-0.051	24	24
2	10	2008-08-08	4.721	4.606	4.057	4.054	73.327	70.619	8.200	9.243	964.224	142.939	61.369	287.689	316.019	67.798	4.465	1.259	2.630	0.082	0.000	124.783	2.631	2.002	18.239	400.103				-0.003	126.762	0.082	-0.000	0.270	-0.003	0.036	-0.063	24	24
2	10	2008-08-09	3.018	2.942	4.029	4.026	81.842	79.990	6.927	7.811	961.415	69.057	30.077	308.326	315.259	40.256	3.969	3.672	2.626	-0.083	-0.015	72.802	2.626	2.034	18.187	400.097				-0.003	79.945	0.052	-0.000	0.327	-0.003	0.013	-0.036	24	24
2	10	2008-08-10	1.810	1.747	3.477	3.483	77.070	76.304	6.155	6.937	960.586	164.927	80.904	262.985	311.397	29.642	-6.528	8.734	2.622	-0.923	-0.093	42.698	2.619	2.042	18.167	400.139				-0.018	67.459	0.044	0.000	-0.228	-0.018	0.009	-0.017	24	24
2	10	2008-08-11	-0.235	-0.263	3.175	3.184	81.292	81.357	4.699	5.304	957.566	140.793	76.274	275.610	308.459	11.291	-8.694	7.323	2.602	-1.568	-0.346	19.500	2.591	2.058	18.145	400.141	160.620	9.185		0.000	41.590	0.027	0.001	-0.371	0.105	0.007	-0.007	24	24
2	10	2008-08-12	-0.622	-0.655	3.149	3.155	83.722	83.398	4.815	5.435	959.382	178.605	105.447	263.528	305.654	13.292	-5.493	6.403	2.594	-2.188	-0.788	17.944	2.595	2.073	18.143	400.172				-0.005	45.233	0.029	0.000	-0.934	-0.005	0.021	-0.006	24	24
2	10	2008-08-13	1.711	1.655	3.370	3.381	74.567	73.946	5.451	6.148	952.237	133.126	74.007	283.663	312.061	24.192	-11.335	1.690	2.590	-0.778	-0.104	34.090	2.589	2.076	18.129	400.144	1.913	5.006		0.000	45.267	0.029	0.001	-0.095	0.002	0.004	-0.014	24	24
2	10	2008-08-14	2.204	2.143	3.726	3.729	78.603	77.414	5.005	5.637	942.533	157.766	84.390	276.454	312.873	23.551	-3.668	2.242	2.587	-0.600	-0.056	49.070	2.587	2.092	18.110	400.140	1.733	47.210		0.000	59.082	0.038	0.000	-0.270	0.001	0.031	-0.026	24	24
2	10	2008-08-15	0.693	0.651	3.568	3.570	84.578	84.398	4.400	4.955	949.241	193.074	107.103	251.306	309.545	14.064	-1.280	3.732	2.583	-1.328	-0.399	31.265	2.583	2.109	18.099	400.219				-0.008	44.249	0.029	0.000	-0.827	-0.008	0.001	-0.016	24	24
2	10	2008-08-16	0.046	0.004	3.072	3.080	77.226	77.244	2.206	2.456	956.644	192.074	111.890	233.870	305.990	7.183	-2.884	4.712	2.577	-2.113	-1.291	15.579	2.576	2.110	18.098	400.153				-0.004	17.074	0.011	0.000	-1.219	-0.004	0.005	-0.002	24	24
2	10	2008-08-17	-0.322	-0.377	2.690	2.702	69.857	69.859	3.203	3.588	957.324	207.643	124.419	221.948	302.117	13.055	-7.608	5.802	2.573	-2.981	-2.250	10.687	2.573	2.113	18.090	400.170				-0.003	14.304	0.009	0.001	-1.355	-0.003	-0.002	0.005	24	24
2	10	2008-08-18	0.583	0.510	2.813	2.823	68.056	67.921	4.725	5.315	958.338	206.557	123.483	220.743	302.585	27.444	-9.877	4.158	2.570	-2.876	-2.083	12.114	2.571	2.113	18.089	400.230				-0.005	22.957	0.015	0.001	-1.498	-0.005	-0.002	0.004	24	24
2	10	2008-08-19	0.542	0.469	2.683	2.695	64.735	64.461	3.412	3.824	955.656	200.705	118.062	218.836	302.287	19.635	-7.565	3.733	2.568	-2.947	-2.262	14.340	2.574	2.113	18.083	400.239	5.297			0.000	14.995	0.010	0.001	-1.419	0.004	-0.001	0.003	24	24
2	10	2008-08-20	1.556	1.478	2.949	2.960	66.418	66.101	5.222	5.881	962.301	187.962	107.903	230.549	306.323	31.997	-11.799	2.401	2.567	-2.042	-1.177	18.328	2.566	2.117	18.077	400.135				-0.005	26.885	0.017	0.001	-1.078	-0.005	0.003	-0.009	24	24
2	10	2008-08-21	-0.098	-0.152	2.851	2.860	72.823	72.825	3.740	4.200	961.879	174.745	97.478	224.564	303.078	16.613	-6.669	4.055	2.558	-2.764	-2.156	13.097	2.559	2.118	18.069	400.278				-0.011	12.752	0.008	0.001	-1.304	-0.011	0.008	-0.017	24	24
2	10	2008-08-22	-1.566	-1.594	2.996	3.001	85.483	84.501	4.927	5.571	953.792	115.081	63.481	259.269	301.959	11.899	-6.246	3.363	2.551	-3.014	-2.143	5.607	2.556	2.123	18.060	400.173	82.800			0.000	17.925	0.012	0.000	-1.612	0.054	-0.000	0.002	24	24
2	10	2008-08-23	-2.883	-2.894	2.689	2.698	86.046	83.995	3.079	3.482	958.473	119.506	66.531	261.279	299.520	4.559	-5.539	4.032	2.548	-3.558	-2.106	0.895	2.553	2.120	18.056	400.219				-0.003	0.000	0.000	0.000	-2.349	-0.003	-0.004	0.010	24	24
2	10	2008-08-24	-1.530	-1.572	2.696	2.703	78.397	77.489	4.119	4.643	964.697	165.964	94.170	229.944	299.022	13.739	-4.428	4.256	2.548	-3.672	-2.712	1.666	2.555	2.120	18.065	400.218				0.000	0.000	0.000	0.000	-2.142	0.001	0.001	0.003	24	24
2	10	2008-08-25	-0.162	-0.224	2.607	2.618	67.356	66.940	3.378	3.787	969.891	139.820	78.978	243.799	300.926	15.920	-8.591	0.809	2.547	-3.269	-3.142	14.534	2.550	2.122	18.066	400.222				-0.002	11.853	0.008	0.001	-0.466	-0.002	0.007	-0.002	24	24
2	10	2008-08-26	3.107	3.029	3.511	3.515	72.895	71.460	4.331	4.864	971.727	145.375	77.322	260.130	312.163	26.272	-3.842	0.760	2.546	-0.759	-0.439	37.190	2.549	2.128	18.062	400.194	7.437	20.432		0.000	39.210	0.025	0.000	0.352	0.005	0.014	-0.004	24	24
2	10	2008-08-27	4.198	4.094	3.384	3.392	63.605	61.730	7.999	9.040	966.754	155.234	81.086	238.307	312.848	65.734	-16.704	6.962	2.554	-0.606	-0.221	44.076	2.565	2.145	18.054	400.221	2.518			0.000	55.599	0.036	0.001	-0.179	0.003	0.000	-0.001	24	24
2	10	2008-08-28	0.541	0.498	3.591	3.588	88.546	88.180	5.326	6.017	975.848	146.426	80.826	245.099	308.481	20.033	2.875	7.025	2.558	-1.563	-1.114	27.241	2.559	2.143	18.047	400.236				-0.008	32.151	0.021	-0.000	-0.779	-0.008	-0.001	-0.015	24	24
2	10	2008-08-29	0.609	0.553	3.302	3.303	81.343	81.263	2.727	3.057	980.134	138.189	79.916	233.546	305.795	11.923	-1.202	2.844	2.553	-2.158	-2.261	9.527	2.551	2.144	18.043	400.245				-0.019	-0.412	-0.000	0.000	-1.137	-0.019	-0.000	-0.003	24	24
2	10	2008-08-30	2.629	2.543	3.103	3.110	66.075	65.055	3.168	3.540	977.304	131.260	75.716	240.148	307.741	20.903	-5.738	0.362	2.537	-1.729	-1.917	13.128	2.531	2.145	18.036	400.292	8.608	1.181		0.000	3.479	0.002	0.000	-0.606	0.006	0.001	-0.008	24	24
