/* DATA DESCRIPTION:
Citation:	Van Tiggelen, Maurice; Smeets, Paul C J P; Reijmer, Carleen H; van As, Dirk; Box, Jason E; Fausto, Robert S; Khan, Shfaqat Abbas; Rignot, Eric; van den Broeke, Michiel R (2024): Daily surface energy balance (SEB) and quality-controlled meteorological quantities measured at station GRL_S10 on the Greenland ice sheet [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.970151, 
	In: Van Tiggelen, M et al. (2024): Daily surface energy balance (SEB) and quality-controlled meteorological quantities measured at 19 stations on the Greenland ice sheet (2003-2023) [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.970127
Abstract:	Daily averaged surface energy balance (SEB) components and meteorological quantities at 19 locations on the Greenland ice sheet. Three stations are located in the accumulation zone (S10, KAN_U and S21), while the other locations are in the ablation zone. Seven stations are part of the IMAU network , while the other stations are from the PROMICE network. The longest time series span between 2003 and 2023 (S5, S6 and S9, all located along the K-transect in West Greenland). The data contains modelled and measured turbulent heat fluxes, all four radiation components, daily melt energy, subsurface heat flux, air temperature, wind and humidity corrected at standard heights above the surface, height of the sensor, snow accumulation measured by a sonic height ranger, ice/snow ablation measured by a draw-wire, a pressure transducer depth assembly, or acoustic ranger mounted on a separate stake. Days with at least one missing sample are removed from the dataset.
Keyword(s):	automatic weather station; Greenland; surface energy balance
Related to:	Fausto, Robert S; van As, Dirk; Mankoff, Kenneth D; Vandecrux, Baptiste; Citterio, Michele; Ahlstrøm, Andreas P; Andersen, Signe B; Colgan, William; Karlsson, Nanna Bjørnholt; Kjeldsen, Kristian Kjellerup; Korsgaard, Niels J; Larsen, Signe H; Nielsen, Søren; Pedersen, Allan Ø; Shields, Christopher L; Solgaard, Anne M; Box, Jason E (2021): Programme for Monitoring of the Greenland Ice Sheet (PROMICE) automatic weather station data. Earth System Science Data, 13(8), 3819-3845, https://doi.org/10.5194/essd-13-3819-2021
	How, Penelope; Abermann, Jakob; Ahlstrøm, Andreas P; Andersen, Signe B; Box, Jason E; Citterio, Michele; Colgan, William; Fausto, Robert S; Karlsson, Nanna Bjørnholt; Jakobsen, Jette; Langley, Kirsty; Larsen, Signe H; Lund, Mads C; Mankoff, Kenneth D; Pedersen, Allan Ø; Rutishauser, Anja; Shield, C L; Solgaard, Anne M; van As, Dirk; Vandecrux, Baptiste; Wright, Patrick J (2022): PROMICE and GC-Net automated weather station data in Greenland [dataset]. GEUS Dataverse, https://doi.org/10.22008/FK2/IW73UU
	Smeets, Paul C J P; van den Broeke, Michiel R; Boot, Wim; Cover, Giorgio; Eijkelboom, Mark; Greuell, Wouter; Tijm-Reijmer, Carleen H; Snellen, Henk; van de Wal, Roderik S W (2022): Automatic weather station data collected from 2003 to 2021 at the Greenland ice sheet along the K-transect, West-Greenland [dataset publication series]. PANGAEA, https://doi.org/10.1594/PANGAEA.947483
	Van Tiggelen, Maurice; Smeets, Paul C J P; Reijmer, Carleen H; van As, Dirk; Box, Jason E; Fausto, Robert S; Khan, Shfaqat Abbas; Rignot, Eric; van den Broeke, Michiel R (2024): Surface energy balance closure over melting snow and ice from in situ measurements on the Greenland ice sheet. Journal of Glaciology, 1-11, https://doi.org/10.1017/jog.2024.68
Coverage:	LATITUDE: 67.000300 * LONGITUDE: -47.025300
	DATE/TIME START: 2010-08-17T00:00:00 * DATE/TIME END: 2016-04-17T00:00:00
	MINIMUM HEIGHT above ground: 2 m * MAXIMUM HEIGHT above ground: 10 m
Event(s):	GRL_S10 (S10) * LATITUDE: 67.000300 * LONGITUDE: -47.025300 * DATE/TIME START: 2010-08-17T00:00:00 * DATE/TIME END: 2016-04-17T00:00:00 * ELEVATION: 1840.0 m * LOCATION: West Greenland Ice Sheet * METHOD/DEVICE: Automatic weather station (AWS) * COMMENT: K-transect; IMAU
Parameter(s):	HEIGHT above ground [m] (Height) * GEOCODE * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: height 1, see parameter comments
	HEIGHT above ground [m] (Height) * GEOCODE * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: height 2, see parameter comments
	DATE/TIME (Date/Time) * GEOCODE * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl)
	Temperature, air, daily mean [°C] (TTT day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Automatic weather station (AWS)
	Temperature, air, daily mean [°C] (TTT day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: corrected at 2m height
	Humidity, specific, daily mean [g/kg] (Humidity spec daily m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl)
	Humidity, specific, daily mean [g/kg] (Humidity spec daily m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: corrected at 2m height
	Humidity, relative, daily mean [%] (RH day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Automatic weather station (AWS)
	Humidity, relative, daily mean [%] (RH day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: corrected at 2m height
	Wind speed, daily mean [m/s] (ff day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl)
	Wind speed, daily mean [m/s] (ff day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: corrected at 10m height
	Pressure, atmospheric, daily mean [hPa] (PPPP day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Automatic weather station (AWS)
	Short-wave downward (GLOBAL) radiation, daily mean [W/m**2] (SWD day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Pyranometer (PYRA)
	Short-wave upward (REFLEX) radiation, daily mean [W/m**2] (SWU day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Pyranometer (PYRA)
	Long-wave downward radiation, daily mean [W/m**2] (LWD day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Pyrgeometer (PYRG)
	Long-wave upward radiation, daily mean [W/m**2] (LWU day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Pyrgeometer (PYRG)
	Heat, flux, sensible, modeled [W/m**2] (Qh mod) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: surface, positive downwards (SHFdown)
	Heat, flux, latent, modeled [W/m**2] (Qe mod) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: surface, positive downwards (LHFdown)
	Soil heat, flux, modeled [W/m**2] (Soil heat flux mod) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: subsurface, positive upwards (GHFup)
	Height [m] (Height) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: of sensor AWS boom above the surface (z_u)
	Surface temperature [°C] (Surf temp) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: from LWU and emissitivty = 1 (Ts_obs)
	Surface temperature [°C] (Surf temp) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: modelled using SEB model (Ts_mod)
	Melt energy [W/m**2] (Melt E) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: modelled daily melt energy using SEB model and Ts_mod (melt_mod)
	Height [m] (Height) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: of AWS boom above the surface measured by sonic Height ranger (z_boom)
	Density, surface [mg/cm**3] (Surface den) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: estimated
	Heat, flux, sensible [W/m**2] (Qh) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: surface, positive downwards (SHFdown_obs)
	Heat, flux, latent [W/m**2] (Qe) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: surface, positive downwards (LHFdown_obs)
	Melt energy [W/m**2] (Melt E) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, (melt_day_dz_boom)
	Height change [m] (Height change) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, due to snow accumulation estimated from dz_boom (acc_day)
	Melt energy [W/m**2] (Melt E) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, (melt_day_SEB)
	Height change [m] (Height change) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, due to melt estimated from sum of SEB when Tsmax > -2 C (melt_day)
	Height change [m] (Height change) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, due to sublimation from LHFdown (subl_day)
	Surface temperature [°C] (Surf temp) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: maximum daily, using LWu and emissivity ' 1 (Tsmax)
	Height change [m] (Height change) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, from sonic Height ranger on AWS boom (dz_boom)
	Number of samples [#] (Samples) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: valid hourly samples from SEB model
	Number of samples [#] (Samples) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: valid hourly samples from AWS data
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	55182 data points
*/
Height [m] (height 1, see parameter comments)	Height [m] (height 2, see parameter comments)	Date/Time	TTT day m [°C] (Automatic weather station)	TTT day m [°C] (corrected at 2m height)	Humidity spec daily m [g/kg]	Humidity spec daily m [g/kg] (corrected at 2m height)	RH day m [%] (Automatic weather station)	RH day m [%] (corrected at 2m height)	ff day m [m/s]	ff day m [m/s] (corrected at 10m height)	PPPP day m [hPa] (Automatic weather station)	SWD day m [W/m**2] (Pyranometer)	SWU day m [W/m**2] (Pyranometer)	LWD day m [W/m**2] (Pyrgeometer)	LWU day m [W/m**2] (Pyrgeometer)	Qh mod [W/m**2] (surface, positive downwards (...)	Qe mod [W/m**2] (surface, positive downwards (...)	Soil heat flux mod [W/m**2] (subsurface, positive upwards ...)	Height [m] (of sensor AWS boom above the ...)	Surf temp [°C] (from LWU and emissitivty = 1 ...)	Surf temp [°C] (modelled using SEB model (Ts_...)	Melt E [W/m**2] (modelled daily melt energy us...)	Height [m] (of AWS boom above the surface...)	Surface den [mg/cm**3] (estimated)	Qh [W/m**2] (surface, positive downwards (...)	Qe [W/m**2] (surface, positive downwards (...)	Melt E [W/m**2] (daily, (melt_day_dz_boom))	Height change [m] (daily, due to snow accumulati...)	Melt E [W/m**2] (daily, (melt_day_SEB))	Height change [m] (daily, due to melt estimated ...)	Height change [m] (daily, due to sublimation fro...)	Surf temp [°C] (maximum daily, using LWu and ...)	Height change [m] (daily, from sonic Height rang...)	Samples [#] (valid hourly samples from SEB...)	Samples [#] (valid hourly samples from AWS...)
2	10	2010-08-17	0.499	0.031	3.755	3.679	77.623	78.774	6.884	7.355	817.500	181.913	134.406	241.913	309.575	16.914	-13.205	-61.935	4.600	-1.627	-6.025	0.000	4.176	400.157				0.000	-78.382	-0.051	0.001	-1.627	0.000	1	2
2	10	2010-08-18	-0.516	-0.605	3.394	3.443	75.926	76.152	8.466	9.068	819.863	259.606	191.859	244.965	306.921	16.933	-22.005	-13.259	4.600	-1.922	-3.495	25.227	4.412	400.152				0.000	-12.540	-0.008	0.002	0.435		24	24
2	10	2010-08-19	-1.510	-1.579	3.398	3.433	80.945	79.986	6.650	7.120	820.525	257.219	187.689	242.786	303.772	10.834	-12.860	5.094	4.600	-2.643	-3.429	29.036	4.203	400.154			4.550	0.000	11.611	0.008	0.001	0.582	0.004	24	24
2	10	2010-08-20	-1.377	-1.417	3.352	3.401	80.134	80.235	4.709	5.041	819.962	250.283	184.267	237.204	305.860	6.027	-11.662	15.270	4.595	-2.162	-2.684	16.945	4.471	400.226			27.059	0.000	6.995	0.005	0.001	0.435	0.018	24	24
2	10	2010-08-21	-2.065	-2.023	3.460	3.516	88.062	87.338	3.137	3.365	821.217	163.249	126.102	285.099	308.029	-1.026	-8.574	4.356	4.594	-1.696	-2.620	23.132	4.179	400.248				-0.013	8.974	0.006	0.001	0.788	-0.013	24	24
2	10	2010-08-22	-3.636	-3.516	3.246	3.306	93.840	91.324	3.482	3.745	817.821	163.950	129.963	287.047	305.020	-6.054	-10.435	9.431	4.594	-2.360	-2.659	14.533	4.174	400.237				-0.002	8.956	0.006	0.001	1.082	-0.002	24	24
2	10	2010-08-23	-1.414	-1.377	3.791	3.833	91.047	90.548	2.835	3.042	814.404	188.642	149.902	271.570	310.086	-0.525	-6.169	9.325	4.598	-1.215	-1.558	8.095	4.284	400.171			12.924	0.000	2.855	0.002	0.000	0.366	0.009	24	24
2	10	2010-08-24	-0.734	-0.681	4.376	4.395	98.200	97.612	5.060	5.430	807.462	157.078	130.216	309.395	315.733	-2.499	-4.567	-3.275	4.599	0.013	-1.002	24.223	4.293	400.151				0.000	10.184	0.007	0.000	0.775		24	24
2	10	2010-08-25	-1.527	-1.383	4.095	4.150	98.239	97.119	2.068	2.227	806.804	206.225	174.327	299.446	313.833	-3.920	-5.359	5.905	4.600	-0.392	-0.168	10.705	4.169	400.153				-0.006	14.137	0.009	0.000	0.378	-0.006	24	24
2	10	2010-08-26	-0.922	-0.842	4.344	4.368	99.584	98.711	4.079	4.381	810.250	156.068	134.443	310.679	315.541	-3.941	-4.570	1.645	4.604	-0.022	-0.282	14.445	4.194	400.246			25.083	0.000	9.897	0.006	0.000	0.558	0.017	24	24
2	10	2010-08-27	-0.672	-0.609	4.476	4.492	99.969	99.189	6.566	7.046	805.712	154.917	137.013	313.649	316.448	-4.955	-5.676	2.671	4.615	0.174	-0.314	14.397	4.183	400.242			7.275	0.000	7.145	0.005	0.000	0.958	0.005	24	24
2	10	2010-08-28	0.161	0.171	4.772	4.769	99.704	99.235	7.582	8.128	805.363	138.503	121.171	317.273	319.301	1.282	0.386	0.000	4.637	0.789	-0.010	21.469	4.220	400.095				-0.023	16.971	0.011	-0.000	1.214	-0.023	24	24
2	10	2010-08-29	0.238	0.241	4.749	4.748	98.427	98.058	9.328	10.003	803.704	136.978	117.375	311.805	319.002	3.096	-0.094	0.369	4.631	0.724	-0.015	19.182	4.219	400.212				-0.045	15.777	0.010	0.000	1.221	-0.045	24	24
2	10	2010-08-30	-0.188	-0.210	4.133	4.160	88.650	88.821	8.407	9.017	805.971	183.827	154.371	276.545	313.173	7.940	-12.138	6.859	4.616	-0.543	-0.969	2.904	4.188	400.263				-0.005	-4.511	-0.003	0.001	0.790	-0.005	24	24
2	10	2010-08-31	-1.481	-1.511	3.554	3.593	83.973	83.793	10.384	11.139	803.613	202.582	168.866	259.228	305.759	10.810	-21.409	8.661	4.612	-2.180	-2.656	0.117	4.183	400.171			6.864	0.000	-14.754	-0.010	0.002	-0.068	0.006	24	24
2	10	2010-09-01	0.318	0.246	4.094	4.120	84.217	83.989	11.229	12.042	803.317	135.722	112.779	287.490	313.058	19.790	-15.032	2.990	4.616	-0.571	-1.534	27.880	4.181	400.098			23.519	0.000	5.124	0.003	0.001	1.208	0.016	24	24
2	10	2010-09-02	2.368	2.217	4.594	4.606	81.603	80.945	12.518	13.423	803.096	124.694	99.229	300.828	320.752	40.220	-6.445	0.000	4.610	1.100	-0.011	45.055	4.210	400.194				-0.006	39.316	0.025	0.000	1.483	-0.006	24	24
2	10	2010-09-03	0.648	0.600	4.376	4.397	87.931	87.944	4.904	5.252	801.442	169.523	129.956	263.490	316.292	6.296	-4.306	4.636	4.603	0.137	-0.902	12.072	4.176	400.149				-0.036	-6.609	-0.004	0.000	1.389	-0.036	24	24
2	10	2010-09-04	-0.085	-0.103	4.211	4.238	89.424	89.253	4.189	4.487	800.425	178.967	135.724	284.976	314.216	3.023	-5.332	9.724	4.603	-0.316	-1.008	29.513	4.172	400.136			20.279	0.000	21.420	0.014	0.000	1.139	0.014	24	24
2	10	2010-09-05	-4.374	-4.274	3.016	3.081	90.625	88.024	3.514	3.776	802.704	153.904	121.474	250.268	299.069	-2.503	-9.630	18.149	4.602	-3.692	-4.397	0.000	4.173	400.145				-0.014	-10.355	-0.007	0.001	-0.420	-0.014	24	24
2	10	2010-09-06	-4.634	-4.552	3.129	3.166	97.162	93.377	2.952	3.171	806.783	135.889	118.047	269.406	297.245	-4.223	-6.917	11.498	4.600	-4.092	-4.786	0.000	4.176	400.198			23.949	0.000	-9.640	-0.006	0.001	-0.719	0.016	24	24
2	10	2010-09-07	-8.909	-8.908	2.061	2.088	92.202	85.455	4.050	4.341	807.550	173.533	153.102	231.230	275.231	1.947	-5.513	16.883	4.598	-9.236	-10.173	0.000	4.173	400.223				-0.013	0.000	0.000	0.000	-5.387	-0.013	24	24
2	10	2010-09-08	-9.962	-9.998	1.683	1.721	80.100	74.272	7.113	7.627	804.596	172.372	144.745	204.943	269.173	7.373	-14.687	12.159	4.601	-10.735	-12.377	0.000	4.180	400.170				0.000	0.000	0.000	0.001	-4.960	0.033	24	24
2	10	2010-09-09	-8.141	-8.074	2.185	2.231	90.558	84.861	4.686	5.033	803.596	116.360	96.392	254.347	281.971	-2.809	-11.167	5.435	4.603	-7.637	-8.792	0.000	4.181	400.139				-0.051	0.000	0.000	0.001	-3.962	-0.051	24	24
2	10	2010-09-10	-7.879	-7.790	2.251	2.298	92.369	86.674	3.090	3.325	803.196	127.769	109.400	266.631	284.096	-3.777	-8.418	6.816	4.598	-7.101	-7.555	0.000	4.172	400.226				-0.014	0.000	0.000	0.001	-5.187	-0.014	24	24
2	10	2010-09-11	-10.462	-10.342	1.876	1.920	95.907	87.717	3.829	4.119	798.892	126.732	109.299	259.369	274.463	-6.660	-8.783	8.638	4.594	-9.388	-9.829	0.000	4.163	400.272				-0.004	0.000	0.000	0.001	-6.769	-0.004	24	24
2	10	2010-09-12	-11.240	-11.147	1.804	1.835	98.697	89.169	7.025	7.547	795.825	130.259	113.774	260.553	270.574	-9.532	-12.238	4.019	4.589	-10.329	-10.858	0.000	4.163	400.197				-0.015	0.000	0.000	0.001	-8.163	-0.015	24	24
2	10	2010-09-13	-9.788	-9.697	2.000	2.034	97.528	89.349	7.962	8.556	804.029	135.765	117.398	259.520	276.580	-11.187	-14.767	2.156	4.574	-8.874	-9.769	0.000	4.144	400.253				-0.058	0.000	0.000	0.001	-8.105	-0.058	24	24
2	10	2010-09-14	-11.723	-11.772	1.502	1.528	85.896	77.830	7.243	7.770	813.012	154.081	131.942	218.478	261.247	10.597	-10.054	6.744	4.574	-12.690	-13.399	0.000	4.136	400.257				0.000	0.000	0.000	0.001	-6.647	0.016	24	24
2	10	2010-09-15	-6.251	-6.333	2.131	2.172	75.828	73.138	8.448	9.060	813.913	130.721	113.515	239.978	281.872	17.149	-18.744	-4.679	4.585	-7.653	-9.020	0.000	4.147	400.241				0.000	0.000	0.000	0.001	-4.070	0.018	24	24
2	10	2010-09-16	-3.489	-3.460	3.215	3.251	90.574	88.395	8.646	9.283	811.408	119.506	104.930	284.756	300.342	-0.300	-17.065	-9.426	4.591	-3.389	-4.442	0.000	4.161	400.146			5.209	0.000	-27.802	-0.018	0.001	-1.241	0.005	24	24
2	10	2010-09-17	-5.763	-5.737	2.845	2.869	96.474	91.754	4.170	4.476	811.617	129.117	111.796	263.327	290.001	1.020	-4.879	6.178	4.588	-5.775	-6.278	0.000	4.161	400.198				0.000	0.000	0.000	0.000	-2.238	0.004	24	24
2	10	2010-09-18	-10.899	-10.918	1.676	1.702	89.387	81.500	7.550	8.102	806.596	145.526	126.208	217.612	266.116	6.925	-9.769	5.306	4.584	-11.448	-12.750	0.000	4.155	400.273				0.000	0.000	0.000	0.001	-6.244	0.009	24	24
2	10	2010-09-19	-7.870	-7.775	2.337	2.380	96.491	90.137	3.725	4.005	809.613	102.423	91.612	271.052	284.263	-4.036	-7.683	-2.331	4.583	-7.089	-8.262	0.000	4.154	400.266				-0.002	0.000	0.000	0.001	-3.362	-0.002	24	24
2	10	2010-09-20	-10.590	-10.551	1.896	1.923	94.492	86.154	7.286	7.825	808.679	102.751	91.238	256.773	270.801	-2.088	-10.640	1.448	4.585	-10.350	-11.101	0.000	4.152	400.243				0.000	0.000	0.000	0.001	-4.203	0.015	24	24
2	10	2010-09-21	-6.232	-6.261	2.455	2.484	87.544	83.475	7.780	8.347	807.171	119.808	103.811	246.734	284.922	8.614	-12.179	-0.235	4.592	-6.916	-8.149	0.000	4.157	400.152				-0.001	0.000	0.000	0.001	-4.490	-0.001	24	24
2	10	2010-09-22	-5.884	-5.836	2.639	2.677	91.040	86.855	15.375	16.501	804.846	74.815	66.377	282.817	290.931	-7.131	-30.848	-6.075	4.607	-5.516	-6.641	0.000	4.170	400.257				0.000	0.000	0.000	0.002	-3.963	0.013	24	24
2	10	2010-09-23	-5.575	-5.529	2.741	2.777	92.002	87.892	19.106	20.500	799.554	73.042	63.696	270.873	292.141	-8.236	-35.772	-2.634	4.622	-5.233	-6.453	0.000	4.195	400.110				0.000	0.000	0.000	0.003	-4.540	0.002	24	24
2	10	2010-09-24	-4.876	-4.909	2.716	2.748	85.654	82.799	13.528	14.514	798.863	127.879	106.588	232.247	290.441	13.133	-23.417	-0.103	4.610	-5.627	-6.957	0.000	4.197	400.145				-0.013	0.000	0.000	0.002	-4.178	-0.013	24	24
2	10	2010-09-25	-5.982	-6.032	2.497	2.525	86.020	82.275	8.795	9.433	796.408	99.638	82.029	232.643	284.813	12.265	-12.675	-0.053	4.603	-6.942	-8.415	0.000	4.164	400.250				0.000	0.000	0.000	0.001	-4.062	0.000	24	24
2	10	2010-09-26	-7.556	-7.627	2.101	2.129	82.918	78.366	8.872	9.511	793.267	119.796	99.670	215.707	276.723	14.099	-14.842	5.645	4.605	-8.853	-10.460	0.000	4.183	400.216				0.000	0.000	0.000	0.001	-7.274	0.023	24	24
2	10	2010-09-27	-9.761	-9.733	2.029	2.057	96.033	88.183	3.197	3.432	792.354	101.956	89.736	251.571	272.822	2.298	-4.045	2.923	4.601	-9.807	-10.693	0.000	4.168	400.267				-0.010	0.000	0.000	0.000	-6.407	-0.010	24	24
2	10	2010-09-28	-10.588	-10.679	1.637	1.657	84.403	77.479	8.985	9.633	793.121	112.472	99.741	190.239	263.264	19.455	-9.640	4.692	4.599	-12.118	-14.251	0.000	4.181	400.138				0.000	0.000	0.000	0.001	-10.381	0.002	24	24
2	10	2010-09-29	-12.709	-12.683	1.532	1.560	93.117	83.456	5.406	5.803	788.867	67.495	60.531	228.162	260.816	3.919	-6.824	1.473	4.596	-12.770	-14.512	0.000	4.166	400.193				-0.013	0.000	0.000	0.001	-8.385	-0.013	24	24
2	10	2010-09-30	-13.393	-13.028	1.529	1.609	99.081	89.508	1.340	1.448	795.471	59.490	59.890	270.564	265.978	-5.935	-4.641	6.443	4.597	-11.477	-11.577	0.000	4.165	400.170				0.000	0.000	0.000	0.000	-9.947	0.015	24	24
2	10	2010-10-01	-16.392	-16.385	1.083	1.102	93.314	80.601	7.118	7.637	795.796	101.062	92.760	221.397	245.759	3.225	-7.812	7.262	4.602	-16.603	-17.153	0.000	4.170	400.079				-0.006	0.000	0.000	0.001	-12.912	-0.006	24	24
