/* DATA DESCRIPTION:
Citation:	Van Tiggelen, Maurice; Smeets, Paul C J P; Reijmer, Carleen H; van As, Dirk; Box, Jason E; Fausto, Robert S; Khan, Shfaqat Abbas; Rignot, Eric; van den Broeke, Michiel R (2024): Daily surface energy balance (SEB) and quality-controlled meteorological quantities measured at station GRL_TAS_L on the Greenland ice sheet [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.970155, 
	In: Van Tiggelen, M et al. (2024): Daily surface energy balance (SEB) and quality-controlled meteorological quantities measured at 19 stations on the Greenland ice sheet (2003-2023) [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.970127
Abstract:	Daily averaged surface energy balance (SEB) components and meteorological quantities at 19 locations on the Greenland ice sheet. Three stations are located in the accumulation zone (S10, KAN_U and S21), while the other locations are in the ablation zone. Seven stations are part of the IMAU network , while the other stations are from the PROMICE network. The longest time series span between 2003 and 2023 (S5, S6 and S9, all located along the K-transect in West Greenland). The data contains modelled and measured turbulent heat fluxes, all four radiation components, daily melt energy, subsurface heat flux, air temperature, wind and humidity corrected at standard heights above the surface, height of the sensor, snow accumulation measured by a sonic height ranger, ice/snow ablation measured by a draw-wire, a pressure transducer depth assembly, or acoustic ranger mounted on a separate stake. Days with at least one missing sample are removed from the dataset.
Keyword(s):	automatic weather station; Greenland; surface energy balance
Related to:	Fausto, Robert S; van As, Dirk; Mankoff, Kenneth D; Vandecrux, Baptiste; Citterio, Michele; Ahlstrøm, Andreas P; Andersen, Signe B; Colgan, William; Karlsson, Nanna Bjørnholt; Kjeldsen, Kristian Kjellerup; Korsgaard, Niels J; Larsen, Signe H; Nielsen, Søren; Pedersen, Allan Ø; Shields, Christopher L; Solgaard, Anne M; Box, Jason E (2021): Programme for Monitoring of the Greenland Ice Sheet (PROMICE) automatic weather station data. Earth System Science Data, 13(8), 3819-3845, https://doi.org/10.5194/essd-13-3819-2021
	How, Penelope; Abermann, Jakob; Ahlstrøm, Andreas P; Andersen, Signe B; Box, Jason E; Citterio, Michele; Colgan, William; Fausto, Robert S; Karlsson, Nanna Bjørnholt; Jakobsen, Jette; Langley, Kirsty; Larsen, Signe H; Lund, Mads C; Mankoff, Kenneth D; Pedersen, Allan Ø; Rutishauser, Anja; Shield, C L; Solgaard, Anne M; van As, Dirk; Vandecrux, Baptiste; Wright, Patrick J (2022): PROMICE and GC-Net automated weather station data in Greenland [dataset]. GEUS Dataverse, https://doi.org/10.22008/FK2/IW73UU
	Smeets, Paul C J P; van den Broeke, Michiel R; Boot, Wim; Cover, Giorgio; Eijkelboom, Mark; Greuell, Wouter; Tijm-Reijmer, Carleen H; Snellen, Henk; van de Wal, Roderik S W (2022): Automatic weather station data collected from 2003 to 2021 at the Greenland ice sheet along the K-transect, West-Greenland [dataset publication series]. PANGAEA, https://doi.org/10.1594/PANGAEA.947483
	Van Tiggelen, Maurice; Smeets, Paul C J P; Reijmer, Carleen H; van As, Dirk; Box, Jason E; Fausto, Robert S; Khan, Shfaqat Abbas; Rignot, Eric; van den Broeke, Michiel R (2024): Surface energy balance closure over melting snow and ice from in situ measurements on the Greenland ice sheet. Journal of Glaciology, 1-11, https://doi.org/10.1017/jog.2024.68
Coverage:	LATITUDE: 65.640200 * LONGITUDE: -38.898700
	DATE/TIME START: 2007-08-23T00:00:00 * DATE/TIME END: 2024-01-03T00:00:00
	MINIMUM HEIGHT above ground: 2 m * MAXIMUM HEIGHT above ground: 10 m
Event(s):	GRL_TAS_L (TAS_L) * LATITUDE: 65.640200 * LONGITUDE: -38.898700 * DATE/TIME START: 2007-08-23T00:00:00 * DATE/TIME END: 2024-01-03T00:00:00 * ELEVATION: 250.0 m * LOCATION: East Greenland Ice Sheet * METHOD/DEVICE: Automatic weather station (AWS) * COMMENT: PROMICE
Parameter(s):	HEIGHT above ground [m] (Height) * GEOCODE * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: height 1, see parameter comments
	HEIGHT above ground [m] (Height) * GEOCODE * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: height 2, see parameter comments
	DATE/TIME (Date/Time) * GEOCODE * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl)
	Temperature, air, daily mean [°C] (TTT day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Automatic weather station (AWS)
	Temperature, air, daily mean [°C] (TTT day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: corrected at 2m height
	Humidity, specific, daily mean [g/kg] (Humidity spec daily m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl)
	Humidity, specific, daily mean [g/kg] (Humidity spec daily m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: corrected at 2m height
	Humidity, relative, daily mean [%] (RH day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Automatic weather station (AWS)
	Humidity, relative, daily mean [%] (RH day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: corrected at 2m height
	Wind speed, daily mean [m/s] (ff day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Automatic weather station (AWS)
	Wind speed, daily mean [m/s] (ff day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: corrected at 10m height
	Pressure, atmospheric, daily mean [hPa] (PPPP day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Automatic weather station (AWS)
	Short-wave downward (GLOBAL) radiation, daily mean [W/m**2] (SWD day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Pyranometer (PYRA)
	Short-wave upward (REFLEX) radiation, daily mean [W/m**2] (SWU day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Pyranometer (PYRA)
	Long-wave downward radiation, daily mean [W/m**2] (LWD day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Pyrgeometer (PYRG)
	Long-wave upward radiation, daily mean [W/m**2] (LWU day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Pyrgeometer (PYRG)
	Heat, flux, sensible, modeled [W/m**2] (Qh mod) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: surface, positive downwards (SHFdown)
	Heat, flux, latent, modeled [W/m**2] (Qe mod) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: surface, positive downwards (LHFdown)
	Soil heat, flux, modeled [W/m**2] (Soil heat flux mod) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: subsurface, positive upwards (GHFup)
	Height [m] (Height) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: of sensor AWS boom above the surface (z_u)
	Surface temperature [°C] (Surf temp) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: from LWU and emissitivty = 1 (Ts_obs)
	Surface temperature [°C] (Surf temp) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: modelled using SEB model (Ts_mod)
	Melt energy [W/m**2] (Melt E) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: modelled daily melt energy using SEB model and Ts_mod (melt_mod)
	Height [m] (Height) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: of AWS boom above the surface measured by sonic Height ranger (z_boom)
	Height, stake [m] (H stake) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: above the surface measured by sonic Height ranger (z_stakes)
	Sensor depth [m] (Sensor depth) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: of pressure transducer assembly (z_pt_cor)
	Density, surface [mg/cm**3] (Surface den) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: estimated
	Melt energy [W/m**2] (Melt E) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, (melt_day_dz_boom)
	Melt energy [W/m**2] (Melt E) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, (melt_day_dz_stakes)
	Melt energy [W/m**2] (Melt E) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, (melt_day_dz_pt_cor)
	Height change [m] (Height change) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, due to snow accumulation estimated from dz_boom (acc_day)
	Melt energy [W/m**2] (Melt E) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, (melt_day_SEB)
	Height change [m] (Height change) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, due to melt estimated from sum of SEB when Tsmax > -2 C (melt_day)
	Height change [m] (Height change) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, due to sublimation from LHFdown (subl_day)
	Surface temperature [°C] (Surf temp) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: maximum daily, using LWu and emissivity ' 1 (Tsmax)
	Height change [m] (Height change) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, from sonic Height ranger on AWS boom (dz_boom)
	Height change [m] (Height change) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, from sonic Height ranger on separate stake (dz_stakes)
	Height change [m] (Height change) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, from pressure transducer assembly (dz_pt_cor)
	Number of samples [#] (Samples) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: valid hourly samples from SEB model
	Number of samples [#] (Samples) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: valid hourly samples from AWS data
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	128721 data points
*/
Height [m] (height 1, see parameter comments)	Height [m] (height 2, see parameter comments)	Date/Time	TTT day m [°C] (Automatic weather station)	TTT day m [°C] (corrected at 2m height)	Humidity spec daily m [g/kg]	Humidity spec daily m [g/kg] (corrected at 2m height)	RH day m [%] (Automatic weather station)	RH day m [%] (corrected at 2m height)	ff day m [m/s] (Automatic weather station)	ff day m [m/s] (corrected at 10m height)	PPPP day m [hPa] (Automatic weather station)	SWD day m [W/m**2] (Pyranometer)	SWU day m [W/m**2] (Pyranometer)	LWD day m [W/m**2] (Pyrgeometer)	LWU day m [W/m**2] (Pyrgeometer)	Qh mod [W/m**2] (surface, positive downwards (...)	Qe mod [W/m**2] (surface, positive downwards (...)	Soil heat flux mod [W/m**2] (subsurface, positive upwards ...)	Height [m] (of sensor AWS boom above the ...)	Surf temp [°C] (from LWU and emissitivty = 1 ...)	Surf temp [°C] (modelled using SEB model (Ts_...)	Melt E [W/m**2] (modelled daily melt energy us...)	Height [m] (of AWS boom above the surface...)	H stake [m] (above the surface measured by...)	Sensor depth [m] (of pressure transducer assemb...)	Surface den [mg/cm**3] (estimated)	Melt E [W/m**2] (daily, (melt_day_dz_boom))	Melt E [W/m**2] (daily, (melt_day_dz_stakes))	Melt E [W/m**2] (daily, (melt_day_dz_pt_cor))	Height change [m] (daily, due to snow accumulati...)	Melt E [W/m**2] (daily, (melt_day_SEB))	Height change [m] (daily, due to melt estimated ...)	Height change [m] (daily, due to sublimation fro...)	Surf temp [°C] (maximum daily, using LWu and ...)	Height change [m] (daily, from sonic Height rang...)	Height change [m] (daily, from sonic Height rang...)	Height change [m] (daily, from pressure transduc...)	Samples [#] (valid hourly samples from SEB...)	Samples [#] (valid hourly samples from AWS...)
2	10	2007-08-23	2.914	2.897	4.206	4.186	87.000	84.311	2.339	3.292	971.962	225.820	49.234	317.408	319.742	30.711	7.081	-7.393	1.990	0.846	0.000	191.687	0.731	2.581		916.000				-0.005	204.651	0.058	-0.000	1.096	-0.005			6	7
2	10	2007-08-24	3.283	3.283	4.243	4.243	85.712	83.039	2.659	3.612	974.121	163.406	40.099	298.504	319.442	36.739	8.525	-3.046	2.007	0.819	0.000	148.396	0.736	2.680		916.000	88.114			0.000	144.587	0.041	-0.000	1.259	0.025	-0.001		24	24
2	10	2007-08-25	5.105	5.097	2.873	2.875	51.819	49.452	6.076	8.377	980.532	190.433	48.891	244.354	316.987	124.098	-61.161	-0.263	2.035	0.289	-0.332	139.334	0.754	2.681		916.000	48.387	-0.479		0.000	131.584	0.037	0.002	1.345	0.016	0.002		24	24
2	10	2007-08-26	4.432	4.421	3.507	3.507	66.618	63.934	4.705	6.451	988.266	219.399	61.137	249.930	318.336	88.634	-17.587	-1.180	2.063	0.581	-0.020	161.451	0.770	2.680		916.000	47.148			0.000	159.724	0.045	0.001	1.540	0.014	-0.003		24	24
2	10	2007-08-27	3.393	3.377	3.449	3.450	70.221	68.099	3.345	4.535	987.940	240.312	67.552	250.938	315.080	51.181	-11.150	0.975	2.090	-0.124	-0.477	154.436	0.787	2.682		916.000	92.523	11.788		0.000	149.623	0.042	0.000	1.138	0.026	0.004		24	24
2	10	2007-08-28	4.033	4.013	3.779	3.780	73.336	70.672	3.217	4.338	984.237	94.064	22.751	325.524	320.393	53.160	-2.620	-2.035	2.118	1.023	0.000	129.505	0.815	2.682		916.000	73.345	14.564		0.000	124.950	0.035	0.000	1.412	0.021	0.004		24	24
2	10	2007-08-29	3.570	3.548	4.343	4.340	86.607	83.790	2.503	3.320	978.340	44.872	9.278	327.544	320.309	35.415	11.897	-1.473	2.146	1.005	0.000	93.250	0.833	2.680		916.000	56.642			0.000	88.669	0.025	-0.000	1.380	0.016	-0.007		24	24
2	10	2007-08-30	3.250	3.225	4.685	4.678	95.392	92.496	2.260	2.982	979.546	51.709	10.919	326.397	320.500	28.548	15.224	-1.273	2.174	1.046	0.000	93.978	0.846	2.679		916.000	50.660	10.646		0.000	89.187	0.025	-0.001	1.258	0.014	0.002		24	24
2	10	2007-08-31	2.268	2.247	4.416	4.411	96.131	94.119	1.673	2.175	976.395	153.130	34.959	323.732	319.637	14.840	8.162	-1.177	2.202	0.861	0.000	148.049	0.848	2.677		916.000				-0.010	144.091	0.041	-0.000	1.470	-0.010	-0.001		24	24
2	10	2007-09-01	3.733	3.698	4.024	4.022	80.566	78.182	4.115	5.499	974.236	114.367	26.692	287.648	319.385	76.792	-8.919	-1.130	2.230	0.807	-0.009	127.210	0.882	2.682		916.000	173.167	4.969		0.000	122.680	0.035	0.000	1.507	0.049	0.002		24	24
2	10	2007-09-02	2.049	2.026	4.074	4.071	90.515	88.868	2.089	2.751	981.707	81.607	19.545	308.612	318.217	19.163	4.598	0.171	2.258	0.555	-0.150	80.050	0.897	2.678		916.000	38.785			0.000	76.390	0.022	-0.000	0.939	0.011	-0.002		24	24
2	10	2007-09-03	2.932	2.897	4.198	4.195	86.554	84.322	2.754	3.636	968.584	19.722	4.993	320.614	320.060	33.702	5.702	-1.049	2.286	0.952	0.000	57.923	0.907	2.679		916.000				-0.001	53.638	0.015	-0.000	1.148	-0.001	-0.001		24	24
2	10	2007-09-04	5.762	5.697	3.306	3.313	56.571	54.097	8.153	10.900	955.906	198.672	49.838	258.204	318.417	171.126	-66.732	-0.892	2.314	0.599	-0.045	197.230	0.920	2.686		916.000	142.630			0.000	192.121	0.054	0.002	1.466	0.042	0.001		24	24
2	10	2007-09-05	3.063	3.013	3.061	3.070	62.839	61.470	4.537	6.018	971.967	157.818	39.642	250.566	314.076	62.772	-36.887	2.594	2.341	-0.347	-0.941	96.726	0.948	2.680		916.000				-0.004	83.147	0.023	0.001	1.259	-0.004	-0.003		24	24
2	10	2007-09-06	2.580	2.540	3.903	3.903	83.503	81.737	2.164	2.819	979.256	56.204	15.226	307.789	319.073	24.478	-0.660	-2.091	2.369	0.740	-0.044	56.065	0.944	2.682		916.000				-0.001	51.421	0.015	0.000	0.955	-0.001	-0.001		24	24
2	10	2007-09-07	1.548	1.510	3.535	3.537	81.020	80.090	2.334	3.039	980.786	109.297	29.978	267.535	313.232	23.713	-4.989	3.388	2.397	-0.531	-0.817	55.894	0.941	2.679		916.000				-0.002	55.734	0.016	0.000	0.780	-0.002	-0.000		24	24
2	10	2007-09-08	2.724	2.677	4.185	4.179	88.488	86.435	2.541	3.302	978.651	70.843	19.627	313.593	318.831	28.301	7.828	-2.430	2.425	0.688	-0.013	83.159	0.947	2.679		916.000	68.556			0.000	79.676	0.023	-0.000	1.010	0.019	0.001		24	24
2	10	2007-09-09	2.987	2.940	3.278	3.286	69.644	68.315	6.905	9.120	977.924	60.413	21.738	264.986	316.478	96.441	-61.346	-0.085	2.453	0.180	-0.216	27.333	0.963	2.683		916.000				-0.001	22.192	0.006	0.002	0.934	-0.001	-0.001		24	24
2	10	2007-09-10	2.984	2.927	3.481	3.487	73.292	71.868	5.381	7.046	972.913	191.136	93.228	274.201	315.941	80.140	-41.817	2.673	2.481	0.063	-0.032	89.501	0.944	2.688		916.000		28.004		0.000	97.163	0.027	0.001	1.066	0.000	0.009		24	24
2	10	2007-09-11	2.326	2.273	2.379	2.397	51.921	51.407	14.507	19.130	976.531	141.599	51.459	212.534	309.477	183.448	-152.222	8.350	2.509	-1.346	-1.115	14.114	0.964	2.697		916.000				-0.008	32.774	0.009	0.005	0.030	-0.008	-0.008		24	24
2	10	2007-09-12	0.261	0.216	2.780	2.792	70.613	70.308	4.085	5.338	983.981	159.048	46.794	228.015	306.315	39.210	-26.949	5.820	2.537	-2.053	-2.152	56.761	0.951	2.680		916.000				-0.010	52.036	0.015	0.001	0.422	-0.010	0.001		24	24
2	10	2007-09-13	0.290	0.227	2.461	2.478	61.972	61.837	3.377	4.364	985.670	179.212	56.596	206.353	303.700	41.554	-26.000	9.296	2.565	-2.645	-2.628	49.558	0.951	2.680		916.000	52.884			0.000	50.119	0.014	0.001	0.704	0.016	-0.001		24	24
2	10	2007-09-14	-0.111	-0.170	2.743	2.754	71.369	70.701	3.059	3.948	983.300	154.353	51.334	223.671	303.368	33.564	-14.477	2.861	2.592	-2.727	-2.689	44.603	0.959	2.680		916.000				-0.008	45.270	0.013	0.000	0.382	-0.008	-0.006		24	24
2	10	2007-09-15	0.255	0.207	3.038	3.049	77.135	76.997	2.003	2.557	983.816	164.130	55.562	246.372	308.427	16.291	-8.039	2.204	2.620	-1.585	-1.739	57.984	0.946	2.677		916.000				-0.022	56.970	0.016	0.000	0.887	-0.022	0.001		24	24
2	10	2007-09-16	-0.982	-1.012	2.894	2.905	80.885	80.495	2.158	2.777	989.185	59.956	24.096	272.589	305.215	14.934	-9.497	1.720	2.643	-2.305	-2.564	16.179	0.938	2.676		916.000	13.045			0.000	10.392	0.003	0.000	0.574	0.004	-0.001		24	24
2	10	2007-09-17	2.381	2.327	4.172	4.165	89.904	88.151	4.257	5.486	972.739	57.612	25.546	311.023	319.328	37.203	4.284	-8.860	2.646	0.794	-0.028	62.034	0.913	2.662		916.000	25.646	14.669		0.000	56.388	0.016	-0.000	1.326	0.007	0.004		24	24
2	10	2007-09-18	1.850	1.794	2.702	2.720	59.364	58.997	16.287	21.218	954.118	129.847	52.933	224.702	309.236	166.676	-126.092	3.652	2.644	-1.402	-1.251	19.470	0.934	2.688		916.000	-7.422			0.000	36.615	0.010	0.004	0.403	0.002	-0.003		24	24
2	10	2007-09-19	1.477	1.420	3.007	3.024	68.079	67.792	4.444	5.746	957.698	115.352	51.511	277.866	311.042	39.212	-32.221	0.146	2.639	-1.005	-0.917	37.094	0.941	2.680		916.000	13.908			0.000	37.801	0.011	0.001	0.326	0.005	-0.004		24	24
2	10	2007-09-20	0.585	0.551	3.438	3.447	83.641	83.595	1.827	2.333	966.536	50.254	29.045	292.356	312.161	11.343	-5.843	0.324	2.634	-0.758	-0.871	8.543	0.940	2.678		916.000				-0.005	7.228	0.002	0.000	0.316	-0.005	0.001		24	24
2	10	2007-09-21	-0.496	-0.522	3.414	3.417	90.561	90.363	1.327	1.670	971.020	78.384	58.651	314.275	308.446	6.729	-0.175	5.647	2.628	-1.576	-0.562	18.679	0.925	2.672		400.266				-0.056	37.762	0.024	0.000	-0.375	-0.056	-0.015		24	24
2	10	2007-09-22	-2.116	-2.174	2.653	2.657	81.189	79.950	2.649	3.373	976.008	84.015	66.122	289.326	295.385	26.373	-4.735	13.440	2.623	-4.504	-2.590	0.000	0.903	2.665		400.190				0.000	0.000	0.000	0.000	-2.276	0.007	0.006		24	24
2	10	2007-09-23	-2.020	-2.105	2.252	2.259	68.529	67.827	3.311	4.216	980.726	112.065	84.297	239.905	290.391	45.878	-11.381	13.579	2.617	-5.642	-4.552	0.000	0.899	2.674		400.210				0.000	0.000	0.000	0.001	-3.230	0.009	0.009		24	24
2	10	2007-09-24	-3.340	-3.401	2.287	2.293	76.895	74.990	3.056	3.914	986.828	67.060	50.812	247.688	288.821	37.155	-6.779	8.318	2.589	-6.059	-5.394	0.000	0.893	2.667		400.243				-0.077	13.810	0.009	0.001	-1.162	-0.077	-0.066		24	24
2	10	2007-09-25	1.750	1.713	3.971	3.968	90.387	89.030	4.955	6.443	984.932	45.817	32.566	317.752	317.953	41.437	8.957	-7.301	2.583	0.496	-0.272	64.436	0.870	2.575		400.126	70.351	15.440		0.000	56.142	0.036	-0.001	1.587	0.045	0.009		24	24
2	10	2007-09-26	3.656	3.585	4.494	4.482	88.258	85.485	6.913	9.008	969.819	13.239	4.950	326.826	321.740	92.390	33.076	-8.741	2.593	1.310	0.000	137.912	0.930	2.675		916.000	297.448	181.303		0.000	130.099	0.037	-0.001	2.005	0.083	0.050		24	24
2	10	2007-09-27	2.722	2.654	4.534	4.519	94.308	92.063	1.969	2.470	963.381	106.222	24.447	301.881	319.799	19.247	10.262	-5.618	2.626	0.896	-0.030	95.277	0.954	2.678		916.000				-0.006	87.748	0.025	-0.000	1.350	-0.006	-0.002		24	24
2	10	2007-09-28	2.891	2.824	4.202	4.195	86.579	84.547	3.561	4.581	963.888	27.894	6.819	314.132	319.526	38.081	5.091	-4.090	2.627	0.837	-0.009	58.896	0.944	2.678		916.000				-0.007	54.763	0.015	-0.000	1.143	-0.007	0.002		24	24
2	10	2007-09-29	2.500	2.437	4.061	4.056	86.825	85.115	2.116	2.670	975.149	106.697	28.472	285.348	317.895	20.726	3.494	-0.323	2.627	0.486	-0.134	74.420	0.939	2.679		916.000				-0.007	69.575	0.020	-0.000	1.059	-0.007	0.001		24	24
2	10	2007-09-30	1.276	1.243	3.808	3.810	89.112	88.344	1.493	1.895	977.739	30.862	9.273	306.377	317.018	8.160	-2.014	-4.656	2.627	0.297	-0.307	17.866	0.930	2.678		916.000				-0.007	12.437	0.004	0.000	0.819	-0.007	-0.001		24	24
2	10	2007-10-01	1.438	1.384	3.088	3.103	69.967	69.517	4.335	5.619	961.586	104.355	37.204	255.325	312.231	40.016	-26.197	10.152	2.628	-0.751	-0.786	28.361	0.925	2.679		916.000				-0.006	34.216	0.010	0.001	1.034	-0.006	0.001		24	24
2	10	2007-10-02	0.217	0.172	3.033	3.044	74.518	74.107	4.819	6.258	964.596	44.409	21.931	279.979	307.928	36.769	-19.750	-2.384	2.628	-1.710	-2.251	22.845	0.915	2.678		916.000				-0.025	9.164	0.003	0.001	0.706	-0.025	-0.000		24	24
2	10	2007-10-03	2.149	2.099	3.531	3.539	76.096	75.015	6.424	8.339	958.953	34.341	21.557	302.751	316.088	53.370	-29.808	4.748	2.628	0.095	-0.244	28.211	0.913	2.679		400.145	20.619			0.000	27.757	0.018	0.002	0.858	0.016	0.000		24	24
2	10	2007-10-04	1.491	1.433	3.561	3.563	82.105	81.430	3.110	3.996	973.397	58.860	35.052	280.602	311.900	28.566	-6.145	3.067	2.628	-0.825	-0.788	16.057	0.915	2.679		400.142				-0.009	17.999	0.012	0.000	0.601	-0.009	-0.002		24	24
2	10	2007-10-05	-1.106	-1.164	2.870	2.875	80.872	80.365	2.265	2.886	982.122	80.231	50.540	257.922	299.913	19.606	-3.250	21.452	2.629	-3.495	-2.432	1.734	0.909	2.679		400.157				-0.001	25.508	0.016	0.000	-0.051	-0.001	0.003		24	24
2	10	2007-10-06	0.030	-0.093	2.284	2.293	59.382	59.364	3.099	3.920	980.586	101.775	64.727	222.098	292.672	56.037	-13.552	14.630	2.629	-5.129	-4.085	0.000	0.910	2.683		400.156				-0.000	23.588	0.015	0.001	-1.727	-0.000	0.002		24	24
2	10	2007-10-07	1.111	1.000	2.552	2.565	61.332	60.813	2.577	3.238	989.299	95.921	55.567	254.467	300.495	41.419	-10.801	2.786	2.629	-3.373	-2.760	16.902	0.909	2.684		400.151		3.987		0.000	27.729	0.018	0.001	0.337	0.000	0.003		24	24
2	10	2007-10-08	4.209	4.089	3.407	3.415	66.712	65.096	2.851	3.611	986.410	79.465	38.141	249.434	314.504	58.417	-6.503	2.965	2.629	-0.257	-0.575	32.051	0.904	2.681		400.142				-0.008	31.132	0.020	0.000	1.712	-0.008	-0.006		24	24
2	10	2007-10-09	0.593	0.559	3.300	3.309	82.467	82.352	1.892	2.406	992.809	23.181	12.556	295.017	312.121	11.625	-5.730	-3.885	2.628	-0.769	-1.056	3.745	0.897	2.678		400.203				-0.003	-4.468	-0.003	0.000	0.617	-0.003	0.001		24	24
