/* DATA DESCRIPTION:
Citation:	Van Tiggelen, Maurice; Smeets, Paul C J P; Reijmer, Carleen H; van As, Dirk; Box, Jason E; Fausto, Robert S; Khan, Shfaqat Abbas; Rignot, Eric; van den Broeke, Michiel R (2024): Daily surface energy balance (SEB) and quality-controlled meteorological quantities measured at station GRL_S23 on the Greenland ice sheet [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.970150, 
	In: Van Tiggelen, M et al. (2024): Daily surface energy balance (SEB) and quality-controlled meteorological quantities measured at 19 stations on the Greenland ice sheet (2003-2023) [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.970127
Abstract:	Daily averaged surface energy balance (SEB) components and meteorological quantities at 19 locations on the Greenland ice sheet. Three stations are located in the accumulation zone (S10, KAN_U and S21), while the other locations are in the ablation zone. Seven stations are part of the IMAU network , while the other stations are from the PROMICE network. The longest time series span between 2003 and 2023 (S5, S6 and S9, all located along the K-transect in West Greenland). The data contains modelled and measured turbulent heat fluxes, all four radiation components, daily melt energy, subsurface heat flux, air temperature, wind and humidity corrected at standard heights above the surface, height of the sensor, snow accumulation measured by a sonic height ranger, ice/snow ablation measured by a draw-wire, a pressure transducer depth assembly, or acoustic ranger mounted on a separate stake. Days with at least one missing sample are removed from the dataset.
Keyword(s):	automatic weather station; Greenland; surface energy balance
Related to:	Fausto, Robert S; van As, Dirk; Mankoff, Kenneth D; Vandecrux, Baptiste; Citterio, Michele; Ahlstrøm, Andreas P; Andersen, Signe B; Colgan, William; Karlsson, Nanna Bjørnholt; Kjeldsen, Kristian Kjellerup; Korsgaard, Niels J; Larsen, Signe H; Nielsen, Søren; Pedersen, Allan Ø; Shields, Christopher L; Solgaard, Anne M; Box, Jason E (2021): Programme for Monitoring of the Greenland Ice Sheet (PROMICE) automatic weather station data. Earth System Science Data, 13(8), 3819-3845, https://doi.org/10.5194/essd-13-3819-2021
	How, Penelope; Abermann, Jakob; Ahlstrøm, Andreas P; Andersen, Signe B; Box, Jason E; Citterio, Michele; Colgan, William; Fausto, Robert S; Karlsson, Nanna Bjørnholt; Jakobsen, Jette; Langley, Kirsty; Larsen, Signe H; Lund, Mads C; Mankoff, Kenneth D; Pedersen, Allan Ø; Rutishauser, Anja; Shield, C L; Solgaard, Anne M; van As, Dirk; Vandecrux, Baptiste; Wright, Patrick J (2022): PROMICE and GC-Net automated weather station data in Greenland [dataset]. GEUS Dataverse, https://doi.org/10.22008/FK2/IW73UU
	Smeets, Paul C J P; van den Broeke, Michiel R; Boot, Wim; Cover, Giorgio; Eijkelboom, Mark; Greuell, Wouter; Tijm-Reijmer, Carleen H; Snellen, Henk; van de Wal, Roderik S W (2022): Automatic weather station data collected from 2003 to 2021 at the Greenland ice sheet along the K-transect, West-Greenland [dataset publication series]. PANGAEA, https://doi.org/10.1594/PANGAEA.947483
	Van Tiggelen, Maurice; Smeets, Paul C J P; Reijmer, Carleen H; van As, Dirk; Box, Jason E; Fausto, Robert S; Khan, Shfaqat Abbas; Rignot, Eric; van den Broeke, Michiel R (2024): Surface energy balance closure over melting snow and ice from in situ measurements on the Greenland ice sheet. Journal of Glaciology, 1-11, https://doi.org/10.1017/jog.2024.68
Coverage:	LATITUDE: 78.920000 * LONGITUDE: -21.450000
	DATE/TIME START: 2016-08-14T00:00:00 * DATE/TIME END: 2020-11-22T00:00:00
	MINIMUM HEIGHT above ground: 2 m * MAXIMUM HEIGHT above ground: 10 m
Event(s):	GRL_S23 (S23) * LATITUDE: 78.920000 * LONGITUDE: -21.450000 * DATE/TIME START: 2016-08-14T00:00:00 * DATE/TIME END: 2020-11-22T00:00:00 * ELEVATION: 142.0 m * LOCATION: Zachariae Isstrøm, Northeast Greenland Ice Sheet * METHOD/DEVICE: Automatic weather station (AWS) * COMMENT: IMAU
Parameter(s):	HEIGHT above ground [m] (Height) * GEOCODE * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: height 1, see parameter comments
	HEIGHT above ground [m] (Height) * GEOCODE * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: height 2, see parameter comments
	DATE/TIME (Date/Time) * GEOCODE * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl)
	Temperature, air, daily mean [°C] (TTT day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Automatic weather station (AWS)
	Temperature, air, daily mean [°C] (TTT day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: corrected at 2m height
	Humidity, specific, daily mean [g/kg] (Humidity spec daily m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl)
	Humidity, specific, daily mean [g/kg] (Humidity spec daily m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: corrected at 2m height
	Humidity, relative, daily mean [%] (RH day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Automatic weather station (AWS)
	Humidity, relative, daily mean [%] (RH day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: corrected at 2m height
	Wind speed, daily mean [m/s] (ff day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl)
	Wind speed, daily mean [m/s] (ff day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: corrected at 10m height
	Pressure, atmospheric, daily mean [hPa] (PPPP day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Automatic weather station (AWS)
	Short-wave downward (GLOBAL) radiation, daily mean [W/m**2] (SWD day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Pyranometer (PYRA)
	Short-wave upward (REFLEX) radiation, daily mean [W/m**2] (SWU day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Pyranometer (PYRA)
	Long-wave downward radiation, daily mean [W/m**2] (LWD day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Pyrgeometer (PYRG)
	Long-wave upward radiation, daily mean [W/m**2] (LWU day m) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * METHOD/DEVICE: Pyrgeometer (PYRG)
	Heat, flux, sensible, modeled [W/m**2] (Qh mod) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: surface, positive downwards (SHFdown)
	Heat, flux, latent, modeled [W/m**2] (Qe mod) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: surface, positive downwards (LHFdown)
	Soil heat, flux, modeled [W/m**2] (Soil heat flux mod) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: subsurface, positive upwards (GHFup)
	Height [m] (Height) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: of sensor AWS boom above the surface (z_u)
	Surface temperature [°C] (Surf temp) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: from LWU and emissitivty = 1 (Ts_obs)
	Surface temperature [°C] (Surf temp) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: modelled using SEB model (Ts_mod)
	Melt energy [W/m**2] (Melt E) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: modelled daily melt energy using SEB model and Ts_mod (melt_mod)
	Height [m] (Height) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: of AWS boom above the surface measured by sonic Height ranger (z_boom)
	Wire length [m] (Wire length) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: length of ablation draw wire (z_adw)
	Density, surface [mg/cm**3] (Surface den) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: estimated
	Melt energy [W/m**2] (Melt E) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, (melt_day_dz_adw)
	Melt energy [W/m**2] (Melt E) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, (melt_day_dz_boom)
	Height change [m] (Height change) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, due to snow accumulation estimated from dz_boom (acc_day)
	Melt energy [W/m**2] (Melt E) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, (melt_day_SEB)
	Height change [m] (Height change) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, due to melt estimated from sum of SEB when Tsmax > -2 C (melt_day)
	Height change [m] (Height change) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, due to sublimation from LHFdown (subl_day)
	Surface temperature [°C] (Surf temp) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: maximum daily, using LWu and emissivity ' 1 (Tsmax)
	Height change [m] (Height change) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, from draw wire (dz_adw)
	Height change [m] (Height change) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: daily, from sonic Height ranger on AWS boom (dz_boom)
	Number of samples [#] (Samples) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: valid hourly samples from SEB model
	Number of samples [#] (Samples) * PI: Van Tiggelen, Maurice (https://orcid.org/0000-0001-7898-3359, m.vantiggelen@uu.nl) * COMMENT: valid hourly samples from AWS data
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	38815 data points
*/
Height [m] (height 1, see parameter comments)	Height [m] (height 2, see parameter comments)	Date/Time	TTT day m [°C] (Automatic weather station)	TTT day m [°C] (corrected at 2m height)	Humidity spec daily m [g/kg]	Humidity spec daily m [g/kg] (corrected at 2m height)	RH day m [%] (Automatic weather station)	RH day m [%] (corrected at 2m height)	ff day m [m/s]	ff day m [m/s] (corrected at 10m height)	PPPP day m [hPa] (Automatic weather station)	SWD day m [W/m**2] (Pyranometer)	SWU day m [W/m**2] (Pyranometer)	LWD day m [W/m**2] (Pyrgeometer)	LWU day m [W/m**2] (Pyrgeometer)	Qh mod [W/m**2] (surface, positive downwards (...)	Qe mod [W/m**2] (surface, positive downwards (...)	Soil heat flux mod [W/m**2] (subsurface, positive upwards ...)	Height [m] (of sensor AWS boom above the ...)	Surf temp [°C] (from LWU and emissitivty = 1 ...)	Surf temp [°C] (modelled using SEB model (Ts_...)	Melt E [W/m**2] (modelled daily melt energy us...)	Height [m] (of AWS boom above the surface...)	Wire length [m] (length of ablation draw wire ...)	Surface den [mg/cm**3] (estimated)	Melt E [W/m**2] (daily, (melt_day_dz_adw))	Melt E [W/m**2] (daily, (melt_day_dz_boom))	Height change [m] (daily, due to snow accumulati...)	Melt E [W/m**2] (daily, (melt_day_SEB))	Height change [m] (daily, due to melt estimated ...)	Height change [m] (daily, due to sublimation fro...)	Surf temp [°C] (maximum daily, using LWu and ...)	Height change [m] (daily, from draw wire (dz_adw))	Height change [m] (daily, from sonic Height rang...)	Samples [#] (valid hourly samples from SEB...)	Samples [#] (valid hourly samples from AWS...)
2	10	2016-08-14	2.649	2.698	3.295	3.342	70.646	69.609	3.295	4.380	988.973	318.284	201.066	256.592	314.728	41.781	-15.732	-43.784		-0.335	-0.229	27.975		6.993	916.000	235.612		0.000	41.347	0.012	0.001	0.083	-0.067		11	13
2	10	2016-08-15	0.765	0.721	2.999	3.014	73.626	73.348	2.908	3.743	988.738	227.067	130.457	244.421	310.476	23.816	-17.242	-19.545		-1.127	-1.127	18.781		6.956	916.000	117.588		0.000	17.584	0.005	0.001	-0.011	-0.034		24	24
2	10	2016-08-16	-0.347	-0.392	2.836	2.851	75.967	75.708	1.758	2.235	989.627	224.455	118.945	234.063	306.164	13.182	-9.951	-3.161		-2.083	-1.498	18.730		6.925	916.000	86.781		0.000	33.478	0.009	0.000	-0.124	-0.025		24	24
2	10	2016-08-17	-2.506	-2.540	2.439	2.455	77.664	76.272	1.393	1.756	984.242	210.269	115.934	225.904	298.321	7.139	-8.445	-0.047		-3.852	-2.827	2.456		6.902	916.000	65.850		0.000	20.564	0.006	0.000	-0.819	-0.019		24	24
2	10	2016-08-18	0.555	0.468	3.005	3.013	74.835	73.766	1.090	1.338	985.240	212.357	109.757	241.574	304.431	11.342	-2.747	-13.346		-2.484	-1.902	28.356		6.881	916.000	87.624		0.000	34.993	0.010	0.000	0.079	-0.025		24	24
2	10	2016-08-19	-0.766	-0.806	2.967	2.976	81.983	81.374	1.772	2.262	988.050	204.973	106.531	237.561	305.346	8.776	-7.659	-6.714		-2.264	-1.642	14.940		6.858	916.000	72.978		0.000	25.062	0.007	0.000	-0.319	-0.021		24	24
2	10	2016-08-20	2.328	2.262	3.160	3.172	69.166	68.267	5.531	7.167	985.688	197.913	94.542	250.752	312.508	61.439	-32.032	-18.652		-0.681	-0.433	48.144		6.835	916.000	78.919		0.000	52.370	0.015	0.001	-0.237	-0.024		24	24
2	10	2016-08-21	2.849	2.774	3.139	3.152	66.376	65.251	5.206	6.738	989.538	183.758	79.696	250.542	313.147	65.488	-31.191	-12.424		-0.541	-0.487	64.529		6.812	916.000	70.223		0.000	63.330	0.018	0.001	-0.154	-0.021		24	24
2	10	2016-08-22	4.325	4.215	3.539	3.544	67.642	65.518	4.061	5.210	992.440	184.711	67.516	261.718	314.121	71.954	-9.352	-11.545		-0.329	-0.269	114.409		6.788	916.000	83.333		0.000	115.850	0.033	0.000	-0.024	-0.024		24	24
2	10	2016-08-23	1.368	1.326	3.249	3.264	77.299	76.922	2.108	2.703	1000.510	126.634	43.852	266.024	315.006	17.654	-12.890	-9.138		-0.138	-0.379	36.227		6.764	916.000	68.848		0.000	29.425	0.008	0.000	0.467	-0.020		24	24
2	10	2016-08-24	3.176	3.092	3.432	3.438	71.008	69.480	4.475	5.771	994.615	141.842	52.326	259.260	313.461	64.208	-12.867	-9.355		-0.474	-0.597	79.685		6.747	916.000	54.779		0.000	77.301	0.022	0.000	0.050	-0.016		24	24
2	10	2016-08-25	1.941	1.888	3.406	3.414	77.683	76.776	2.867	3.678	1001.102	120.576	38.209	272.680	314.503	27.534	-10.097	-8.823		-0.247	-0.623	57.217		6.730	916.000	56.862		0.000	49.158	0.014	0.000	0.406	-0.016		24	24
2	10	2016-08-26	1.497	1.461	3.597	3.602	85.537	84.673	2.206	2.839	1005.656	146.522	54.331	269.524	315.621	19.217	-4.956	-7.913		-0.004	-0.296	54.651		6.712	916.000	59.223		0.000	52.441	0.015	0.000	0.393	-0.017		24	24
2	10	2016-08-27	1.957	1.897	3.341	3.350	75.748	74.878	2.915	3.736	996.190	125.971	48.628	261.580	313.252	30.940	-10.615	-6.577		-0.519	-0.962	49.442		6.697	916.000	51.525		0.000	39.419	0.011	0.000	0.030	-0.015		24	24
2	10	2016-08-28	4.210	4.112	3.787	3.788	72.654	70.336	5.251	6.776	988.583	60.209	16.599	296.755	315.185	89.707	-0.051	-8.993		-0.098	-0.443	110.555		6.683	916.000	42.208		0.000	105.843	0.030	0.000	0.223	-0.012		24	24
2	10	2016-08-29	3.293	3.223	3.944	3.943	80.317	78.309	6.306	8.178	978.010	83.610	40.555	308.914	316.496	79.867	2.441	-8.476		0.185	0.000	108.084		6.667	916.000	67.124		0.000	109.306	0.031	-0.000	0.704	-0.019		24	24
2	10	2016-08-30	0.502	0.477	3.466	3.472	86.631	86.284	2.645	3.416	985.644	63.141	43.593	296.169	313.123	13.306	-7.568	4.779		-0.556	-0.477	5.307		6.654	916.000	16.703		0.000	13.111	0.004	0.000	0.301	-0.005		24	24
2	10	2016-08-31	-0.110	-0.159	2.897	2.907	75.125	74.883	4.839	6.258	980.262	124.846	81.504	237.968	305.078	40.025	-21.890	-0.326		-2.326	-2.440	3.235		6.650	400.150			0.000	-5.960	-0.004	0.002	-0.000	-0.003		24	24
2	10	2016-09-01	-1.559	-1.571	2.750	2.769	80.266	79.654	2.015	2.601	980.721	109.545	69.981	246.970	304.513	9.955	-13.527	-1.572		-2.456	-3.423	0.000		6.647	400.138			0.000	-23.123	-0.015	0.001	-0.063	-0.002		24	24
2	10	2016-09-02	-1.073	-1.065	3.183	3.200	89.769	89.214	0.692	0.901	983.342	53.556	29.083	289.306	310.835	0.187	-4.714	-1.375		-1.049	-1.830	4.300		6.646	400.140			0.000	-2.958	-0.002	0.000	0.133	0.000		24	24
2	10	2016-09-03	-2.187	-2.229	2.440	2.455	76.019	74.937	2.237	2.873	984.650	122.914	76.876	231.339	298.598	14.121	-14.460	11.839		-3.773	-4.229	0.000		6.646	400.145			0.000	-9.721	-0.006	0.001	-1.756	0.000		24	24
2	10	2016-09-04	-5.013	-5.037	2.070	2.082	82.323	78.839	1.429	1.818	988.733	116.211	71.145	220.757	288.532	7.004	-7.717	16.533		-6.072	-6.345	0.000		6.646	400.156			0.000	0.000	0.000	0.001	-4.052	0.000		24	24
2	10	2016-09-05	-6.266	-6.301	1.863	1.874	82.527	78.077	1.262	1.609	986.975	126.734	78.605	228.060	282.733	4.860	-5.786	18.663		-7.423	-6.958	0.000		6.646	400.156			0.000	0.000	0.000	0.000	-5.553	0.000		24	24
2	10	2016-09-06	-6.620	-6.655	1.491	1.505	67.568	64.005	5.104	6.606	982.694	119.536	78.330	203.401	279.183	30.138	-36.385	14.516		-8.263	-8.957	0.000		6.646	400.150			0.000	0.000	0.000	0.003	-6.331	0.000		24	24
2	10	2016-09-07	-6.689	-6.738	1.514	1.527	68.720	65.127	2.639	3.377	987.669	113.857	70.781	199.506	277.417	20.956	-16.187	13.513		-8.685	-9.355	0.000		6.646	400.156			0.000	0.000	0.000	0.001	-6.150	0.000		24	24
2	10	2016-09-08	-7.570	-7.592	1.679	1.690	82.363	77.073	1.437	1.824	992.258	91.718	58.946	226.304	278.266	4.745	-6.740	4.005		-8.499	-9.530	0.000		6.646	400.156			0.000	0.000	0.000	0.001	-5.317	0.000		24	24
2	10	2016-09-09	-5.719	-5.712	2.039	2.052	86.667	82.368	2.658	3.447	998.223	75.000	41.494	261.500	290.248	-1.866	-15.271	-3.996		-5.669	-6.412	0.000		6.646	400.142			0.000	0.000	0.000	0.001	-4.637	0.000		24	24
2	10	2016-09-10	-4.180	-4.177	2.265	2.285	84.267	81.464	0.947	1.226	997.971	65.640	35.470	280.810	296.527	0.295	-7.648	-14.952		-4.244	-4.821	0.000		6.646	400.138			0.000	0.000	0.000	0.001	-2.410	0.000		24	24
2	10	2016-09-11	-2.743	-2.734	2.605	2.619	85.297	83.487	3.617	4.699	995.152	38.214	24.004	306.386	303.702	-1.799	-23.787	-12.927		-2.621	-3.362	0.000		6.646	400.149			0.000	-21.618	-0.014	0.002	-1.753	0.000		24	24
2	10	2016-09-12	-6.188	-6.226	2.034	2.038	88.038	83.303	2.341	2.980	997.629	83.026	73.633	241.260	281.248	11.422	-3.934	27.719		-7.799	-7.554	0.000		6.646	400.156			0.000	4.613	0.003	0.000	-1.867	0.000		24	24
2	10	2016-09-13	-5.214	-5.207	1.893	1.914	75.949	72.887	3.093	4.015	988.392	49.718	35.526	292.506	292.593	-2.030	-29.257	-11.898		-5.141	-6.129	0.000		6.646	400.149			0.000	0.000	0.000	0.002	-3.456	0.000		24	24
2	10	2016-09-14	-3.218	-3.239	2.311	2.324	76.849	75.062	5.626	7.294	979.169	76.126	56.873	258.636	295.946	26.538	-31.521	-0.217		-4.378	-5.021	0.000		6.646	400.145			0.000	0.000	0.000	0.002	-2.116	0.000		24	24
2	10	2016-09-15	-6.080	-6.137	1.508	1.521	65.259	62.240	4.750	6.120	989.538	80.587	61.317	208.972	277.856	40.792	-28.480	20.381		-8.574	-9.128	0.000		6.646	400.149			0.000	0.000	0.000	0.002	-6.338	0.000		24	24
2	10	2016-09-16	-8.609	-8.642	1.462	1.473	78.902	73.163	1.745	2.211	989.642	60.177	46.664	225.916	271.866	11.187	-7.954	13.337		-10.023	-10.854	0.000		6.646	400.148			0.000	0.000	0.000	0.001	-7.190	0.000		24	24
2	10	2016-09-17	-4.498	-4.493	2.410	2.419	89.062	85.556	5.017	6.509	976.094	44.494	31.167	289.836	295.307	0.799	-21.609	-20.479		-4.520	-5.487	0.000		6.646	400.147			0.000	0.000	0.000	0.002	-2.660	0.000		24	24
2	10	2016-09-18	-2.975	-2.972	2.781	2.789	91.509	89.115	5.292	6.864	977.921	26.484	18.049	296.203	301.556	3.052	-18.413	-13.100		-3.099	-3.797	0.000		6.646	400.156			0.000	0.000	0.000	0.001	-2.828	0.000		24	24
2	10	2016-09-19	-6.226	-6.276	1.998	2.002	85.922	81.310	2.551	3.252	990.915	63.158	60.846	236.522	279.065	18.828	-4.383	29.967		-8.340	-8.194	0.000		6.646	400.157			0.000	0.000	0.000	0.000	-3.079	0.000		24	24
2	10	2016-09-20	-9.153	-9.173	1.340	1.352	76.567	70.667	2.896	3.730	997.273	49.947	38.684	240.787	271.297	11.185	-16.191	13.013		-10.158	-10.476	0.000		6.646	400.152			0.000	0.000	0.000	0.001	-7.676	0.000		24	24
2	10	2016-09-21	-10.534	-10.583	1.233	1.241	79.565	72.332	2.175	2.779	994.229	53.143	46.536	220.992	262.480	6.039	-10.941	34.779		-12.335	-12.645	0.000		6.646	400.138			0.000	0.000	0.000	0.001	-8.655	0.000		24	24
2	10	2016-09-22	-7.392	-7.448	1.408	1.418	68.773	64.620	5.358	6.918	993.640	54.674	47.242	211.659	272.149	51.683	-24.009	-2.928		-9.943	-10.697	0.000		6.646	400.143			0.000	0.000	0.000	0.002	-8.745	0.000		24	24
2	10	2016-09-23	-6.274	-6.331	1.600	1.609	71.193	67.576	4.829	6.229	999.440	49.921	41.518	214.786	276.603	49.144	-19.316	1.123		-8.871	-9.553	0.000		6.646	400.143			0.000	0.000	0.000	0.001	-7.790	0.000		24	24
2	10	2016-09-24	-8.873	-8.930	1.264	1.273	70.596	65.395	3.759	4.825	1001.615	47.535	40.602	205.699	266.364	36.393	-15.120	15.386		-11.353	-11.967	0.000		6.646	400.152			0.000	0.000	0.000	0.001	-10.086	0.000		24	24
2	10	2016-09-25	-5.308	-5.361	1.557	1.569	63.653	61.128	6.847	8.853	997.867	44.626	33.121	219.535	280.852	64.271	-41.319	-11.118		-7.869	-8.750	0.000		6.646	400.145			0.000	0.000	0.000	0.003	-6.147	0.000		24	24
2	10	2016-09-26	-6.283	-6.372	1.587	1.595	70.376	66.889	2.143	2.697	992.769	39.641	29.293	215.847	273.866	22.905	-8.918	12.164		-9.526	-10.787	0.000		6.646	400.149			0.000	0.000	0.000	0.001	-8.251	0.000		24	24
2	10	2016-09-27	-2.921	-2.963	2.513	2.519	81.176	79.378	4.865	6.267	986.115	18.638	9.950	276.195	294.291	30.187	-16.122	-33.798		-4.803	-5.780	0.000		6.646	400.137			0.000	-29.141	-0.019	0.001	-1.845	0.000		24	24
2	10	2016-09-28	-3.854	-3.874	2.606	2.610	92.824	89.633	2.986	3.840	994.135	20.838	17.194	281.555	294.438	6.974	-7.235	3.395		-4.752	-4.962	0.000		6.646	400.138			0.000	-6.105	-0.004	0.001	-1.966	0.000		24	24
2	10	2016-09-29	-10.523	-10.590	1.298	1.300	83.277	75.609	2.235	2.818	994.704	28.703	28.346	212.416	259.392	20.258	-4.266	40.374		-13.085	-12.523	0.000		6.646	400.142			0.000	0.000	0.000	0.000	-11.306	0.000		24	24
2	10	2016-09-30	-9.062	-9.076	1.416	1.426	79.954	73.661	5.554	7.184	993.367	21.479	14.176	232.349	272.225	19.295	-24.193	1.213		-9.924	-10.856	0.000		6.646	400.156			0.000	0.000	0.000	0.002	-8.142	0.000		24	24
2	10	2016-10-01	-11.881	-11.913	1.044	1.051	75.757	68.004	5.036	6.504	993.627	28.376	24.438	188.095	257.782	32.344	-18.114	32.477		-13.486	-14.171	0.000		6.646	400.138			0.000	0.000	0.000	0.001	-11.538	0.000		24	24
