"Sol: Wavelength (nm)","Sol: Intensity (rel)","Blå himmel: Wavelength (nm)","Blå himmel: Intensity (rel)","Grøn plante: Wavelength (nm)","Grøn plante: Intensity (rel)","Grøn plante 2: Wavelength (nm)","Grøn plante 2: Intensity (rel)","Klippe: Wavelength (nm)","Klippe: Intensity (rel)"
380,0.0209423909424,380,0.0156521256521,380,0.00192474192474,380,0.00252192252192,380,0.00394605394605
381,0.0204824804825,381,0.0150863950864,381,0.00194509194509,381,0.00271728271728,381,0.00357864357864
382,0.016558996559,382,0.0121397121397,382,0.00184741184741,382,0.00250564250564,382,0.0030303030303
383,0.0159973359973,383,0.0116472416472,383,0.00180264180264,383,0.00208236208236,383,0.00325008325008
384,0.0203929403929,384,0.0153387353387,384,0.00215673215673,384,0.00290931290931,384,0.00390128390128
385,0.0220290820291,385,0.0164783364783,385,0.00209161209161,385,0.00293706293706,385,0.00415362415362
386,0.023885003885,386,0.0172027972028,386,0.00240093240093,386,0.00314463314463,386,0.00427572427572
387,0.0239664039664,387,0.0174876974877,387,0.00213527213527,387,0.00292892292892,387,0.00428386428386
388,0.0247804047804,388,0.0180493580494,388,0.00228697228697,388,0.00319754319754,388,0.00477226477226
389,0.0298434898435,389,0.0215495615496,389,0.00268176268176,389,0.00392607392607,389,0.00526473526474
390,0.0319273319273,390,0.0230473230473,390,0.00284863284863,390,0.00369408369408,390,0.00554556554557
391,0.0343367743368,391,0.0244148444148,391,0.00284863284863,391,0.00411736411736,391,0.00603396603397
392,0.028243978244,392,0.0203896103896,392,0.00292596292596,392,0.00388944388944,392,0.00500832500833
393,0.0210441410441,393,0.0151759351759,393,0.00236023236023,393,0.0031894031894,393,0.004292004292
394,0.0322488622489,394,0.0228926628927,394,0.00426906426906,394,0.00550116550117,394,0.00698634698635
395,0.0396440596441,395,0.0274754874755,395,0.00349169349169,395,0.00478484478484,395,0.00697820697821
396,0.030160950161,396,0.0216065416065,396,0.00281607281607,396,0.00397898397898,396,0.00582232582233
397,0.0324808524809,397,0.0226850926851,397,0.0027306027306,397,0.00430458430458,397,0.00602175602176
398,0.0500632700633,398,0.0344596144596,398,0.00411847411847,398,0.00562326562327,398,0.00881784881785
399,0.056909016909,399,0.0392296592297,399,0.00468013468013,399,0.00664076664077,399,0.00999814999815
400,0.0606737706738,400,0.0420868020868,400,0.00490398490398,400,0.00725940725941,400,0.0104051504052
401,0.0635594035594,401,0.043959003959,401,0.00541273541274,401,0.00743848743849,401,0.0111947311947
402,0.06662004662,402,0.0453916453916,402,0.00563251563252,402,0.00775594775595,402,0.0118215118215
403,0.0659118659119,403,0.0448951048951,403,0.00535575535576,403,0.0077355977356,403,0.0116139416139
404,0.0679305879306,404,0.0461730861731,404,0.00578717578718,404,0.00820364820365,404,0.012138972139
405,0.0692818292818,405,0.0465963665964,405,0.00571391571392,405,0.00815480815481,405,0.0124075924076
406,0.0672183372183,406,0.0447607947608,406,0.00579531579532,406,0.00780885780886,406,0.0118703518704
407,0.0702667702668,407,0.0466859066859,407,0.00574647574648,407,0.00814666814667,407,0.0125052725053
408,0.078243978244,408,0.0514396714397,408,0.00665815665816,408,0.00931068931069,408,0.0142960742961
409,0.078073038073,409,0.0512687312687,409,0.00646686646687,409,0.00913974913975,409,0.0142513042513
410,0.0720982720983,410,0.0473615273615,410,0.00649535649536,410,0.00817922817923,410,0.0134739334739
411,0.0853420653421,411,0.0553957153957,411,0.00774891774892,411,0.0104177304177,411,0.0157368557369
412,0.0855577755578,412,0.0550294150294,412,0.00738261738262,412,0.00989676989677,412,0.0161316461316
413,0.0846257446257,413,0.0544351944352,413,0.00752913752914,413,0.0101002701003,413,0.0158670958671
414,0.0882968882969,414,0.0568120768121,414,0.00777333777334,414,0.0106863506864,414,0.0168438968439
415,0.0878532578533,415,0.0554933954934,415,0.00768786768787,415,0.0100432900433,415,0.0168031968032
416,0.0937262737263,416,0.0589854589855,416,0.0082128982129,416,0.0112235912236,416,0.0176904576905
417,0.0909993709994,417,0.0570318570319,417,0.00795241795242,417,0.0107351907352,417,0.0177392977393
418,0.0922122322122,418,0.0576179376179,418,0.00818847818848,418,0.0111177711178,418,0.0180974580975
419,0.0956391756392,419,0.058667998668,419,0.00858733858734,419,0.0115817515818,419,0.0184393384393
420,0.0988707588708,420,0.0597587597588,420,0.00913271913272,420,0.0118096718097,420,0.0192207792208
421,0.105508935509,421,0.0632833832834,421,0.00951936951937,421,0.012814962815,421,0.0204906204906
422,0.101141821142,422,0.0603611203611,422,0.00913271913272,422,0.0122899322899,422,0.020278980279
423,0.103591963592,423,0.061223961224,423,0.00911643911644,423,0.0124364524365,423,0.0206615606616
424,0.106229326229,424,0.0622455322455,424,0.00965367965368,424,0.012412032412,424,0.0215284715285
425,0.106025826026,425,0.0620135420135,425,0.00980833980834,425,0.0128271728272,425,0.0212557812558
426,0.106033966034,426,0.0619402819403,426,0.0098408998409,426,0.012582972583,426,0.0216709216709
427,0.105675805676,427,0.0605320605321,427,0.00991415991416,427,0.0126155326155,427,0.0218581418581
428,0.110502830503,428,0.0633566433566,428,0.0106426906427,428,0.013571983572,428,0.0229082029082
429,0.100002220002,429,0.0571376771377,429,0.00971065971066,429,0.0123387723388,429,0.0210767010767
430,0.0863514263514,430,0.0490872090872,430,0.00850593850594,430,0.0108003108003,430,0.0182114182114
431,0.108769008769,431,0.0604262404262,431,0.0100444000444,431,0.0129126429126,431,0.0227494727495
432,0.123437303437,432,0.0682894882895,432,0.011647981648,432,0.0147319347319,432,0.0260421060421
433,0.124479224479,433,0.0677278277278,433,0.0118107818108,433,0.0147889147889,433,0.0264572464572
434,0.12158952159,434,0.0660062160062,434,0.0111555111555,434,0.0146464646465,434,0.0257897657898
435,0.136404336404,435,0.0729618529619,435,0.0130480630481,435,0.0163680763681,435,0.0290050690051
436,0.144438524439,436,0.076225996226,436,0.013332963333,436,0.017002997003,436,0.0313412513413
437,0.140661560662,437,0.0747363747364,437,0.013976023976,437,0.0169419469419,437,0.0304417804418
438,0.131666851667,438,0.068729048729,438,0.0126085026085,438,0.0156924556925,438,0.0289725089725
439,0.145317645318,439,0.0743782143782,439,0.0134957634958,439,0.0168239168239,439,0.0318215118215
440,0.147254967255,440,0.0749561549562,440,0.0134143634144,440,0.0171128871129,440,0.0320901320901
441,0.159644059644,441,0.0812076812077,441,0.0173297073297,441,0.0211706811707,441,0.0372020572021
442,0.16788988789,442,0.0830961630962,442,0.0158563658564,442,0.0196240796241,442,0.0366241166241
443,0.168292818293,443,0.0824286824287,443,0.0157708957709,443,0.0199333999334,443,0.0366566766567
