"Traeplanke: Wavelength (nm)","Traeplanke: Intensity (rel)","Sol direkte: Wavelength (nm)","Sol direkte: Intensity (rel)","Blaa himmel: Wavelength (nm)","Blaa himmel: Intensity (rel)"
380,0.00164002664003,380,0.05000999001,380,0.00333832833833
381,0.001521996522,381,0.0502602952603,381,0.0030636030636
382,0.0015577015577,382,0.0496701446701,382,0.00267695267695
383,0.00143661893662,383,0.0504251304251,383,0.00270340770341
384,0.00166555666556,384,0.0553844303844,384,0.0033485033485
385,0.00148980648981,385,0.0598655048655,385,0.00340955340955
386,0.00160478410478,386,0.062513042513,386,0.00363747363747
387,0.00176194176194,387,0.0642814592815,387,0.00360084360084
388,0.00165408665409,388,0.0663775113775,388,0.00381248381248
389,0.00191586191586,389,0.0699428349428,389,0.00444333444333
390,0.00234117734118,390,0.0724255374255,390,0.00458985458985
391,0.00225977725978,391,0.0747088097088,391,0.00484626484626
392,0.00212343212343,392,0.0695093795094,392,0.00424186924187
393,0.00188792688793,393,0.0646884596885,393,0.00352351352351
394,0.00227605727606,394,0.0722261072261,394,0.0047668997669
395,0.0026097976098,395,0.0816563066563,395,0.00553816553817
396,0.00212953712954,396,0.0738907388907,396,0.00423169423169
397,0.00236069486069,397,0.0751687201687,397,0.00504162504163
398,0.00294353794354,398,0.0920714470714,398,0.00688940688941
399,0.00319994819995,399,0.0987259037259,399,0.00767491767492
400,0.00343600843601,400,0.104155289155,400,0.00803307803308
401,0.00353775853776,401,0.105559440559,401,0.00844007844008
402,0.00366022866023,402,0.109405594406,402,0.00889998889999
403,0.00389388389388,403,0.109692529693,403,0.00877178377178
404,0.00383283383283,404,0.112637177637,404,0.00884707884708
405,0.00394475894476,405,0.11406981907,405,0.00905871905872
406,0.00385114885115,406,0.112226107226,406,0.00881451881452
407,0.00394068894069,407,0.117647352647,407,0.00929884929885
408,0.0046040996041,408,0.126373441373,408,0.0101861101861
409,0.00431512931513,409,0.127641247641,409,0.00994394494394
410,0.00423372923373,410,0.122104007104,410,0.00942094942095
411,0.00485643985644,411,0.137574092574,411,0.0107681207681
412,0.00480963480963,412,0.13852036852,412,0.0109146409146
413,0.00486457986458,413,0.139458504459,413,0.010641950642
414,0.00484422984423,414,0.145811780812,414,0.0109634809635
415,0.00484015984016,415,0.146230991231,415,0.0111588411588
416,0.00531228031228,416,0.153646538647,416,0.0116391016391
417,0.00517797017797,417,0.152612757613,417,0.011285011285
418,0.00535908535909,418,0.155901320901,418,0.011519036519
419,0.00536519036519,419,0.160972545973,419,0.0115943315943
420,0.00544659044659,420,0.164586709587,420,0.0120583120583
421,0.00593906093906,421,0.174350649351,421,0.0125446775447
422,0.00589022089022,422,0.173223258223,422,0.0123228623229
423,0.0057844007844,423,0.179576534577,423,0.0124653124653
424,0.00592685092685,424,0.185974580975,424,0.0128255078255
425,0.00605709105709,425,0.18991027491,425,0.0125752025752
426,0.00595534095534,426,0.189657934658,426,0.0126159026159
427,0.00609779109779,427,0.190333555334,427,0.0124571724572
428,0.00616494616495,428,0.193941613942,428,0.0126728826729
429,0.005703000703,429,0.182181337181,429,0.0115699115699
430,0.00543845043845,430,0.167956672957,430,0.0104547304547
431,0.0065922965923,431,0.187714507715,431,0.0130697080697
432,0.00709901209901,432,0.206662411662,432,0.0139223739224
433,0.0068833018833,433,0.205758870759,433,0.0138246938247
434,0.00717227217227,434,0.203294483294,434,0.0136924186924
435,0.00770137270137,435,0.22336977837,435,0.0148014948015
436,0.00804325304325,436,0.233528508529,436,0.0158719058719
437,0.00795981795982,437,0.231902541903,437,0.0153835053835
438,0.00757927257927,438,0.221827246827,438,0.0141462241462
439,0.00819384319384,439,0.234765789766,439,0.0156358456358
440,0.00820401820402,440,0.237513042513,440,0.0155910755911
441,0.00902005402005,441,0.247797942798,441,0.0167347467347
442,0.00950031450031,442,0.259588744589,442,0.0172231472231
443,0.00933954933955,443,0.263355533356,443,0.0174958374958
444,0.00990731490731,444,0.267382802383,444,0.0177725977726
445,0.00936193436193,445,0.260309135309,445,0.0168242868243
446,0.00963462463462,446,0.266837421837,446,0.0175772375772
447,0.0107498057498,447,0.284631479631,447,0.0187778887779
448,0.0105747955748,448,0.289613164613,448,0.0185621785622
449,0.0106928256928,449,0.291957486957,449,0.0190953490953
450,0.0114274614275,450,0.306646131646,450,0.0200843600844
451,0.0112626262626,451,0.304594849595,451,0.0198482998483
452,0.0107945757946,452,0.294114589115,452,0.0188796388796
