Wavelength (nm),Run 1,Run 1 2,Run 2,Run 3
380,0.037039627,0.003039183,0.017085137,0.002202797
381,0.033653384,0.003108373,0.015571096,0.002177822
382,0.028150738,0.002685093,0.013332593,0.001819662
383,0.028455988,0.002697303,0.013116883,0.001603952
384,0.037210567,0.003547934,0.017166537,0.002234802
385,0.038480408,0.003466533,0.018159618,0.002283642
386,0.041569542,0.004015984,0.019331779,0.002446442
387,0.041720132,0.003718874,0.01987716,0.002202242
388,0.044292374,0.003670034,0.020992341,0.002674363
389,0.052949273,0.004528805,0.024862915,0.002788323
390,0.056640767,0.004752655,0.026950827,0.002959263
391,0.057886188,0.005070115,0.028635809,0.003138343
392,0.044292374,0.004162504,0.022555223,0.002922633
393,0.038806009,0.003710734,0.018460798,0.002365042
394,0.059188589,0.005957376,0.028782329,0.003972694
395,0.067873978,0.005965516,0.034065194,0.003374403
396,0.048403078,0.004663115,0.024940245,0.003105783
397,0.065830836,0.005566656,0.031041181,0.003337773
398,0.09042994,0.007642358,0.044655345,0.004204684
399,0.09988863,0.008651719,0.05032893,0.004758205
400,0.107625708,0.009107559,0.054240204,0.004888445
401,0.112196322,0.0095634,0.057109557,0.005401265
402,0.115598846,0.01015762,0.058957339,0.005523366
403,0.115989566,0.01005994,0.059490509,0.005474525
404,0.118203648,0.01014134,0.060569061,0.005873386
405,0.11962815,0.010532061,0.061887742,0.005922226
406,0.116539017,0.01010878,0.06043068,0.005889666
407,0.124113294,0.010564621,0.064289044,0.005881526
408,0.138496688,0.012103082,0.072103452,0.006646687
409,0.130922411,0.011488511,0.07039405,0.006353646
410,0.12979502,0.011639102,0.067528768,0.006361786
411,0.150568321,0.013161283,0.079437599,0.007403707
412,0.147466977,0.012746143,0.079319569,0.007476967
413,0.14965664,0.012990343,0.07974692,0.007460687
414,0.154027824,0.013739224,0.083759944,0.007794428
415,0.154048174,0.013527584,0.083324453,0.007367077
416,0.162810893,0.014691605,0.089368409,0.008209568
417,0.158626929,0.014243904,0.086576387,0.007949088
418,0.161337551,0.014846265,0.088770119,0.008209568
419,0.165155215,0.014952085,0.091289451,0.008632849
420,0.174190624,0.015937026,0.095107115,0.008974729
421,0.178956599,0.016091686,0.100919081,0.009284049
422,0.170804381,0.016034706,0.095921116,0.009145669
423,0.179473489,0.016726607,0.100723721,0.009324749
424,0.182045732,0.016702187,0.103080253,0.00968698
425,0.182184112,0.016970807,0.103214563,0.00982129
426,0.178765309,0.017166167,0.103165723,0.00978059
427,0.181101491,0.017044067,0.103694824,0.00982129
428,0.182863803,0.017202797,0.107072927,0.01001665
429,0.162249232,0.015627706,0.096417656,0.008950309
430,0.150820661,0.014797425,0.086625227,0.008502609
431,0.195891886,0.019022089,0.113800644,0.010956821
432,0.207141377,0.02030007,0.122897103,0.011595812
433,0.200881711,0.01983609,0.120992341,0.011481851
434,0.20970141,0.02027972,0.123165723,0.012019092
435,0.228712399,0.022497872,0.137076997,0.013061013
436,0.236494246,0.023564214,0.143312243,0.013386613
437,0.226832057,0.023100233,0.13977134,0.013276723
438,0.216494246,0.022074592,0.13028823,0.012556333
439,0.238073408,0.024150294,0.145599586,0.013891294
440,0.23983572,0.024553225,0.146596737,0.014180264
441,0.258228068,0.027088837,0.1601295,0.016455396
442,0.267434417,0.027634218,0.166755467,0.015918156
443,0.267967588,0.027630148,0.167341547,0.016023976
444,0.276241906,0.028554039,0.173316313,0.016390276
445,0.260718911,0.027219077,0.165021645,0.015975136
446,0.277601288,0.028944759,0.173869834,0.016772857
447,0.295733156,0.030633811,0.187903208,0.018246198
448,0.296982647,0.031004181,0.189368409,0.018270618
449,0.303185333,0.032355422,0.193243053,0.018913679
450,0.32044622,0.033307803,0.207463647,0.01972361
451,0.313978984,0.033617124,0.204378584,0.01998816
452,0.295525586,0.031810042,0.192941873,0.018978799
453,0.304695305,0.032514153,0.197561328,0.019137529
454,0.30973804,0.033584564,0.203198283,0.01998816
455,0.316494246,0.034252044,0.206438006,0.0203626
456,0.330902061,0.035888186,0.219071299,0.021103341
457,0.327039627,0.036274836,0.218318348,0.021298701
458,0.316087246,0.034911385,0.21026381,0.020631221
459,0.324406334,0.035823066,0.217247937,0.021249861
460,0.333926074,0.036836497,0.224435564,0.021835942
461,0.346148296,0.038338328,0.234000074,0.022812743
462,0.356998927,0.03977911,0.241602842,0.023708144
463,0.352766123,0.039095349,0.240662671,0.023044733
464,0.348207718,0.038777889,0.237247937,0.023415103
465,0.361337551,0.04048729,0.246128686,0.024334924
466,0.357316387,0.03986865,0.245273985,0.024351204
467,0.366465756,0.041317571,0.250821401,0.024741925
468,0.374467384,0.042082732,0.257956118,0.025124505
469,0.383787694,0.043124653,0.266877567,0.026426906
470,0.372082362,0.041842602,0.256987457,0.025718726
471,0.403714434,0.046120176,0.279299219,0.027428127
472,0.413539424,0.047251637,0.292567433,0.028177008
473,0.421134051,0.047902838,0.295050135,0.029072409
474,0.445220335,0.050939061,0.313641914,0.030993451
475,0.445554076,0.050963481,0.315172235,0.031156251
476,0.462078292,0.052778703,0.325111185,0.032002812
477,0.487430347,0.056396936,0.346792097,0.034229104
478,0.506661117,0.058541829,0.361619122,0.035576276
479,0.532416102,0.061822252,0.381920302,0.037163577
480,0.547703038,0.063775854,0.393544234,0.038750879
481,0.583742924,0.068167388,0.42039405,0.041213231
482,0.585261035,0.069131979,0.426527547,0.041958042
483,0.597869908,0.070670441,0.437272357,0.043162763
484,0.612241092,0.072135642,0.448477078,0.044754135
485,0.579294409,0.069311059,0.435326895,0.043056943
486,0.577666408,0.068407518,0.416954897,0.041844082
487,0.646009916,0.077817368,0.476678137,0.047826988
488,0.681239871,0.083088023,0.510687091,0.050834721
489,0.728826359,0.088529619,0.541448181,0.054062234
490,0.759497909,0.093031043,0.575937396,0.057814778
491,0.751089281,0.092925223,0.571973212,0.057407777
492,0.78000666,0.096409146,0.585400155,0.059052059
493,0.79027528,0.098533689,0.603043623,0.060851001
494,0.827182077,0.103694454,0.634545455,0.064627965
495,0.836734377,0.105994006,0.646035076,0.065987346
496,0.852782403,0.108391238,0.65974692,0.067949088
497,0.854687165,0.10971806,0.669197469,0.068600289
498,0.845114515,0.108659859,0.657801458,0.067656048
499,0.86028749,0.112355422,0.676303696,0.07004107
500,0.842257372,0.1100111,0.666706627,0.069202649
501,0.828012358,0.108895919,0.654390794,0.067493247
502,0.858268768,0.113315943,0.67977134,0.071245791
503,0.857625708,0.114394494,0.688342768,0.071665002
504,0.857096607,0.114211344,0.682359862,0.071953972
505,0.88953454,0.12012913,0.714211714,0.075503016
506,0.884683095,0.121008251,0.719038739,0.076699597
507,0.8701776,0.11969364,0.70964924,0.075840826
508,0.883909794,0.122261812,0.716409516,0.077269397
509,0.892644023,0.124418914,0.737907278,0.079092759
510,0.884402264,0.123295593,0.726938617,0.078893329
511,0.898211788,0.127414437,0.744215784,0.081559182
512,0.887751878,0.126779517,0.73952714,0.081013801
513,0.867002997,0.124573575,0.726421726,0.0799149
514,0.856245976,0.123014763,0.714508825,0.079454989
515,0.876803567,0.127349317,0.736718837,0.081770822
516,0.806278536,0.117866208,0.690695231,0.076569357
517,0.796583787,0.115578866,0.669173049,0.074640175
518,0.811581752,0.118753469,0.684716395,0.076744367
519,0.857291967,0.127829578,0.727357827,0.081624302
520,0.872521923,0.131630962,0.749295149,0.084847745
521,0.886254116,0.134878825,0.764158804,0.087045547
522,0.871923632,0.132636253,0.75955156,0.086573427
523,0.886791357,0.135513746,0.764964665,0.088290968
524,0.902525993,0.139225589,0.79044289,0.090912051
525,0.886539017,0.138786029,0.783125023,0.090619011
526,0.827088467,0.129046509,0.734484404,0.084107004
527,0.841671292,0.132037962,0.735123395,0.085441965
528,0.892570763,0.141748992,0.78966959,0.092369112
529,0.889241499,0.143165353,0.795742036,0.093435453
530,0.898993229,0.145403855,0.806527547,0.095527436
531,0.89045843,0.146018426,0.806816517,0.095938506
532,0.855802346,0.139453509,0.775375735,0.092019092
533,0.855826766,0.14019425,0.774708255,0.092881933
534,0.875167425,0.144760795,0.793812854,0.095152995
535,0.890653791,0.148387168,0.814423354,0.098929959
536,0.87029156,0.145648056,0.802685463,0.096943797
537,0.862688793,0.145184075,0.792616273,0.096422836
538,0.857796648,0.146486476,0.797133977,0.097057757
539,0.832582973,0.141928072,0.776010656,0.094717505
540,0.816290746,0.138932549,0.758428238,0.092800533
541,0.828329818,0.142416472,0.772160432,0.094811115
542,0.831471861,0.143849114,0.781985422,0.097171717
543,0.828236208,0.143735154,0.776963037,0.096231546
544,0.830788101,0.146234136,0.786779887,0.097651978
545,0.818968809,0.144557295,0.7796004,0.097253117
546,0.816526807,0.145525956,0.781895882,0.097627558
547,0.802338772,0.144060754,0.77032893,0.096894957
548,0.804927295,0.145407925,0.775448995,0.097940948
549,0.798936249,0.144948015,0.772217412,0.097415917
550,0.793734784,0.144313094,0.77003589,0.097700818
551,0.78967292,0.144671255,0.768823029,0.098189218
552,0.778187368,0.143478743,0.761615052,0.096866467
553,0.769274059,0.141504792,0.754341954,0.096732157
554,0.773075443,0.143922374,0.761244681,0.098311318
555,0.764504015,0.143556074,0.758908499,0.098164798
556,0.745228475,0.140682651,0.741708662,0.095966996
557,0.738541459,0.138851149,0.734472194,0.095010545
558,0.720954971,0.137280127,0.722335442,0.093809894
559,0.714394124,0.135660266,0.714708255,0.093101713
560,0.723136493,0.138875569,0.726096126,0.095006475
561,0.714634255,0.137459207,0.722213342,0.094522145
562,0.70957524,0.137516188,0.716653717,0.094436674
563,0.702770193,0.137076627,0.714284974,0.094591335
564,0.70017353,0.137312687,0.714423354,0.094811115
565,0.680507271,0.133405483,0.696653717,0.092067932
566,0.678529249,0.132843823,0.692445332,0.092446442
567,0.680832871,0.134878825,0.700805121,0.093533134
568,0.668346098,0.132599623,0.689433529,0.092133052
569,0.663193473,0.132298442,0.687561328,0.092385392
570,0.646823917,0.1300111,0.671273171,0.089487549
571,0.650702631,0.12999889,0.671492951,0.091506272
572,0.66001073,0.133576424,0.686283346,0.093516854
573,0.658871129,0.133405483,0.687772968,0.093427313
574,0.649371739,0.132379842,0.67993414,0.092287712
575,0.636420986,0.129343619,0.667634588,0.091376031
576,0.638443778,0.131110001,0.672042402,0.092092352
577,0.635102305,0.130296,0.670776631,0.091937692
578,0.622428312,0.128366818,0.656613017,0.091074851
579,0.627922818,0.1299704,0.663857624,0.091603952
580,0.627165797,0.130914641,0.668049728,0.092808673
581,0.630861361,0.132697303,0.670906871,0.093240093
582,0.632855663,0.132965923,0.678672439,0.094102934
583,0.630991601,0.133486883,0.67986088,0.094428534
584,0.625407555,0.132705443,0.677256077,0.094241314
585,0.609192659,0.12966108,0.65956784,0.092002812
586,0.605440115,0.129131979,0.655998446,0.091249861
587,0.602078292,0.129400599,0.658517779,0.092401672
588,0.564504015,0.121830392,0.622734303,0.087183927
589,0.541907352,0.115643986,0.587146187,0.082039442
590,0.560547971,0.120983831,0.612111592,0.086215266
591,0.559066489,0.121219891,0.615510046,0.086317016
592,0.566465756,0.122237392,0.6202516,0.087867688
593,0.558309468,0.121903652,0.616857217,0.086988567
594,0.548093758,0.12004773,0.605713546,0.086085026
595,0.542819033,0.118452288,0.601570282,0.085165205
596,0.543983054,0.11973027,0.604280904,0.086247826
597,0.534768565,0.117471417,0.596413586,0.084656455
598,0.531781182,0.116669627,0.591965072,0.083944204
599,0.527898398,0.116685907,0.589124209,0.084033744
600,0.519042069,0.114870685,0.581293521,0.082975543
601,0.51048692,0.113397343,0.572705813,0.081754542
602,0.505098235,0.112489732,0.567146187,0.080871351
603,0.51037296,0.113608984,0.572722093,0.082267362
604,0.509355459,0.114186924,0.575245495,0.081884782
605,0.501858512,0.113014763,0.568570689,0.081404521
606,0.50021423,0.112111222,0.564810005,0.081477781
607,0.489331039,0.11019018,0.555807156,0.08030562
608,0.482802753,0.109302919,0.547280497,0.078527029
609,0.476844267,0.107943538,0.543637844,0.078238058
610,0.47011248,0.106803937,0.534211714,0.077464757
611,0.468826359,0.107284197,0.536385096,0.077424057
612,0.462713213,0.105379435,0.530849891,0.077220557
613,0.452033522,0.103938654,0.520536501,0.074876235
614,0.452021312,0.103869464,0.51994228,0.075804196
615,0.442159692,0.102310652,0.511818552,0.074526215
616,0.43044622,0.09999075,0.497972398,0.072873793
617,0.434353424,0.10041403,0.502131942,0.073435453
618,0.435338365,0.101073371,0.504907685,0.073476153
619,0.434280164,0.10032449,0.502498242,0.074005254
620,0.431862582,0.100499501,0.503764014,0.073606394
621,0.422167832,0.098981389,0.493772154,0.072621453
622,0.416681467,0.097744108,0.487064787,0.071156251
623,0.41031598,0.096718467,0.481008621,0.070684131
624,0.402688793,0.095220705,0.471297591,0.06983757
625,0.395094165,0.093161283,0.464134384,0.068640989
626,0.398993229,0.094333444,0.47006031,0.06972361
627,0.386941947,0.091744922,0.456999667,0.067794428
628,0.383950494,0.091297221,0.44968587,0.067053687
629,0.37954675,0.09008436,0.446405446,0.066361786
630,0.377975728,0.0904181,0.446438006,0.066630407
631,0.374695305,0.089368039,0.442701743,0.065865246
632,0.378985089,0.09043438,0.445990306,0.066524587
633,0.377788508,0.0904181,0.447227587,0.066825767
634,0.376526807,0.0902553,0.445754246,0.066695527
635,0.373726644,0.09042624,0.443947164,0.066996707
636,0.371585822,0.089254079,0.440748141,0.065881526
637,0.373409183,0.090556481,0.445322825,0.067200207
638,0.369420579,0.089311059,0.441399341,0.066426906
639,0.363893514,0.088464498,0.435448995,0.065132645
640,0.35977467,0.087390017,0.42974285,0.065295445
641,0.356734377,0.087068487,0.428061938,0.064815185
642,0.356062826,0.087300477,0.426551967,0.064611685
643,0.353295223,0.085973656,0.424004144,0.064717505
644,0.352261442,0.085778296,0.423002923,0.064310504
645,0.344878455,0.084134014,0.413877974,0.063162763
646,0.34027121,0.083352573,0.407024087,0.062324342
647,0.335224405,0.082082732,0.401635402,0.061754542
648,0.327992008,0.08019425,0.395619936,0.061152181
649,0.322477152,0.07970585,0.388847449,0.059418359
650,0.326766937,0.080975691,0.392656973,0.061127761
651,0.322835313,0.07981167,0.39038591,0.0602405
652,0.324349354,0.080707071,0.391118511,0.060606801
653,0.321606172,0.08047101,0.388969549,0.06002072
654,0.313140563,0.078354608,0.38038184,0.058759019
655,0.285627336,0.072046102,0.350727791,0.054176194
656,0.274890665,0.068008658,0.328794539,0.051603952
657,0.289314759,0.071997262,0.345534466,0.054583195
