Wavelength (nm),Moerke 32ms (middel af 4),Blaa himmel med sloer 30ms
380,0.000781302,0.018555334
381,0.000902616,0.016440966
382,0.000859002,0.014011174
383,0.00086698,0.01459929
384,0.000968152,0.018752729
385,0.000989473,0.019204499
386,0.00092692,0.020386835
387,0.000974442,0.02044178
388,0.001101306,0.022244792
389,0.00094135,0.026076701
390,0.000868622,0.027955008
391,0.000945721,0.027588708
392,0.001034868,0.020154845
393,0.001065555,0.01983535
394,0.001714605,0.02999001
395,0.001031561,0.032008732
396,0.000975783,0.023237873
397,0.000971459,0.033933844
398,0.001056582,0.043445443
399,0.001036279,0.047922448
400,0.001056235,0.050759241
401,0.001058247,0.053217523
402,0.00109386,0.053587894
403,0.001055195,0.05483128
404,0.001092704,0.055057165
405,0.00110977,0.055272875
406,0.001124223,0.054318459
407,0.001096265,0.057503238
408,0.001221371,0.063343693
409,0.001176324,0.059141414
410,0.001121425,0.05975802
411,0.001277288,0.068296888
412,0.001205184,0.066717727
413,0.001123599,0.067694528
414,0.0011427,0.069013209
415,0.00108905,0.06980686
416,0.001108614,0.072517483
417,0.001161616,0.07017723
418,0.001206155,0.071540682
419,0.001126512,0.072497132
420,0.00110903,0.076400266
421,0.001127484,0.078127983
422,0.001148851,0.075053095
423,0.001097375,0.078903319
424,0.001080447,0.078781219
425,0.001162032,0.078683539
426,0.001111019,0.076786917
427,0.001127437,0.078402708
428,0.001206363,0.078066933
429,0.001204629,0.067873608
430,0.001124292,0.065789766
431,0.001164877,0.08492896
432,0.00105686,0.088032338
433,0.001030636,0.084202464
434,0.001204976,0.089178044
435,0.001247919,0.096392126
436,0.001128547,0.097824768
437,0.00111673,0.093579754
438,0.001218827,0.08983128
439,0.001187609,0.098142228
440,0.001174451,0.09992896
441,0.002451114,0.107063677
442,0.001163651,0.108724239
443,0.001087177,0.109141414
444,0.001032255,0.111552892
445,0.001133959,0.105337995
446,0.001150146,0.113119843
447,0.001258741,0.118158508
448,0.001098577,0.119298109
449,0.001197414,0.122025012
450,0.001158702,0.128720169
451,0.001101167,0.124495504
452,0.001129842,0.117018907
453,0.001150377,0.121497946
454,0.001194962,0.121963962
455,0.0010391,0.124711215
456,0.001110556,0.13023421
457,0.001085095,0.127187812
458,0.001178266,0.123575684
459,0.001071197,0.126168276
460,0.001104104,0.129739705
461,0.001027306,0.133819884
462,0.0010761,0.137263107
463,0.000992827,0.135142635
464,0.001161477,0.133087283
465,0.001050339,0.137104377
466,0.001175722,0.135346135
467,0.001027029,0.138549229
468,0.001041505,0.140954601
469,0.00106722,0.142814593
470,0.001079337,0.139135309
471,0.001278213,0.150869131
472,0.00111976,0.153180893
473,0.001006355,0.156099086
474,0.000948635,0.163286713
475,0.001068469,0.162753543
476,0.001140572,0.169196359
477,0.001135601,0.177816628
478,0.001064352,0.184552485
479,0.001057137,0.194715285
480,0.001053067,0.19978244
481,0.000980478,0.212059607
482,0.00104317,0.213286713
483,0.001057877,0.216831687
484,0.001001845,0.22016095
485,0.000970002,0.206497946
486,0.001047749,0.209062049
487,0.001049969,0.234381544
488,0.001057137,0.24530747
489,0.000940171,0.263933844
490,0.000939061,0.273848374
491,0.001091779,0.269391719
492,0.000944333,0.28030747
493,0.000945628,0.283014023
494,0.000896557,0.296302586
495,0.001127414,0.2998557
496,0.001001545,0.305801976
497,0.000943177,0.302672143
498,0.000957098,0.300653421
499,0.000959457,0.303921634
500,0.001022727,0.296440966
501,0.001008436,0.291052281
502,0.001008205,0.30041329
503,0.000955642,0.297200022
504,0.000954647,0.29957487
505,0.000909785,0.311650572
506,0.000958578,0.308052688
507,0.00099692,0.302529693
508,0.000863396,0.308410848
509,0.000955665,0.311312761
510,0.001017455,0.306937507
511,0.001010656,0.313412883
512,0.001032764,0.307022977
513,0.000872461,0.29962371
514,0.000971459,0.296845932
515,0.00088925,0.301878492
516,0.000975552,0.274666445
517,0.000933002,0.273018093
518,0.000918318,0.278127983
519,0.000923983,0.294666445
520,0.000866263,0.299387649
521,0.000862702,0.303486143
522,0.000736069,0.297493062
523,0.000905021,0.303836164
524,0.000921208,0.308585859
525,0.000976847,0.30041736
526,0.000757576,0.277145077
527,0.000965886,0.285472305
528,0.000775798,0.304072224
529,0.000938136,0.301683132
530,0.000805953,0.305362415
531,0.000861222,0.30039294
532,0.000872091,0.287641618
533,0.00094697,0.288475968
534,0.000890637,0.295366485
535,0.000930736,0.299483294
536,0.000823667,0.291182521
537,0.000864043,0.289208569
538,0.000765346,0.286367706
539,0.000937118,0.275863026
540,0.000848735,0.2702627
541,0.000876901,0.274650165
542,0.000934112,0.274963555
543,0.000898754,0.274232989
544,0.000872553,0.274523995
545,0.000823482,0.270527251
546,0.000872831,0.269005069
547,0.000830188,0.264621675
548,0.000881965,0.265716506
549,0.000853082,0.263372183
550,0.000852342,0.260828431
551,0.000714101,0.259355089
552,0.000906177,0.253750694
553,0.000854747,0.253461723
554,0.000843277,0.253689644
555,0.000866495,0.25021793
556,0.000739862,0.243787324
557,0.00075709,0.241247641
558,0.000832593,0.233457653
559,0.000809792,0.232252932
560,0.000866217,0.234613535
561,0.000668984,0.231424686
562,0.000848596,0.23029526
563,0.000760721,0.227320087
564,0.000920561,0.226066526
565,0.000805028,0.218390498
566,0.000886405,0.218237873
567,0.000738058,0.217552078
568,0.000760166,0.211911052
569,0.000779406,0.20970918
570,0.000893273,0.203673364
571,0.000814602,0.205747031
572,0.000799941,0.207898028
573,0.000876577,0.206839827
574,0.000929348,0.202867503
575,0.000822927,0.198589929
576,0.000821123,0.198732379
577,0.000773208,0.197193917
578,0.000688756,0.193412883
579,0.000804057,0.195346135
580,0.000740787,0.196864247
581,0.000709291,0.197517483
582,0.000712158,0.198736449
583,0.000745458,0.198541089
584,0.000711233,0.195700226
585,0.000719836,0.19034817
586,0.000801351,0.188769009
587,0.000874542,0.186172346
588,0.000891053,0.17043364
589,0.000904743,0.163587894
590,0.000825702,0.17005106
591,0.000802392,0.168781219
592,0.000802346,0.170820291
593,0.000773116,0.168842269
594,0.000769832,0.164438524
595,0.000758131,0.164523995
596,0.000758778,0.164304214
597,0.000764444,0.161211011
598,0.000852065,0.161121471
599,0.00078084,0.160588301
600,0.000837635,0.158150368
601,0.000727189,0.155626966
602,0.000828893,0.15472139
603,0.000757622,0.155346135
604,0.00076456,0.155154845
605,0.000807248,0.152297702
606,0.000710354,0.151650572
607,0.000712389,0.148634699
608,0.000657259,0.146046176
609,0.000793003,0.144353054
610,0.000726357,0.142488992
611,0.000781071,0.141447071
612,0.00079934,0.13951382
613,0.000714424,0.136510157
614,0.000884463,0.136882562
615,0.000653374,0.132570393
616,0.000703787,0.12994524
617,0.000676083,0.131137751
618,0.000715673,0.130580161
619,0.000733109,0.12962371
620,0.000704296,0.129104784
621,0.000670487,0.126762497
622,0.000725339,0.124011174
623,0.000631082,0.122493062
624,0.000715951,0.119086469
625,0.000608558,0.117299737
626,0.000721639,0.117755578
627,0.000795801,0.112425907
628,0.000659479,0.111996522
629,0.000702908,0.110555741
630,0.000647501,0.111060421
631,0.000736439,0.10953417
632,0.000773763,0.110685981
633,0.000622711,0.111040071
634,0.000648934,0.110191475
635,0.000722657,0.109407999
636,0.000768815,0.108850409
637,0.000618132,0.10971325
638,0.000701798,0.108655049
639,0.000698699,0.107063677
640,0.000661283,0.105533356
641,0.000756327,0.104849595
642,0.000671319,0.104833315
643,0.000720853,0.103473933
644,0.000647963,0.102839013
645,0.000803872,0.10012025
646,0.000702908,0.097311947
647,0.000725386,0.095004255
648,0.000730866,0.093305028
649,0.000658369,0.092415732
650,0.000749806,0.094296074
651,0.000701613,0.092159322
652,0.000625948,0.092900063
653,0.000751841,0.092387242
654,0.000654854,0.089473119
655,0.000659433,0.081162171
656,0.000725178,0.079226884
657,0.000680061,0.083412883
658,0.000642089,0.086563067
659,0.000665862,0.087214267
660,0.000692039,0.087812558
661,0.000723721,0.087507308
662,0.000775012,0.086343286
663,0.000656427,0.084992045
664,0.000751425,0.084255374
665,0.000579559,0.083915529
666,0.000755587,0.083368113
667,0.000738289,0.081858142
668,0.000746337,0.081760462
669,0.000653606,0.08043771
670,0.000673123,0.079273689
671,0.000654669,0.077812558
672,0.000649628,0.076746217
673,0.000694352,0.075728716
674,0.000795455,0.074458874
675,0.000701567,0.074365264
676,0.000720622,0.073998964
677,0.000702029,0.073087283
678,0.000716506,0.072615163
679,0.000650599,0.071239501
680,0.000699162,0.070620861
681,0.000592787,0.07025863
682,0.000678951,0.068777149
683,0.000682419,0.067841048
684,0.000619103,0.066327006
685,0.000719419,0.066176416
686,0.000680107,0.057784068
687,0.000694398,0.049448699
688,0.000643616,0.051276131
689,0.000634504,0.051870352
690,0.000715349,0.054316424
691,0.000707764,0.055077515
692,0.000700919,0.055362415
693,0.000621693,0.054165834
694,0.000663272,0.053648944
695,0.000655779,0.054385614
696,0.000716436,0.054922855
697,0.000702261,0.056127576
698,0.000657768,0.054723425
699,0.000732231,0.052859363
700,0.000655502,0.051858142
701,0.000564389,0.050934251
702,0.000708366,0.050710401
703,0.000619936,0.051272061
704,0.000708643,0.051345321
705,0.000612952,0.050620861
706,0.000573408,0.050804011
707,0.000797998,0.051031931
708,0.000716228,0.05018537
709,0.000670533,0.049371369
710,0.000776862,0.049346949
711,0.000713453,0.048653014
712,0.000715581,0.048166648
713,0.000724183,0.047259037
714,0.000599724,0.045968846
715,0.000762525,0.045521146
716,0.000742128,0.041410441
717,0.000580716,0.036461316
718,0.000615634,0.033482073
719,0.000715164,0.032155252
720,0.000761322,0.032879713
721,0.000779498,0.037132867
722,0.000660404,0.037511378
723,0.000591261,0.034992045
724,0.000732693,0.033596034
725,0.000560736,0.032777963
726,0.000730427,0.032749473
727,0.000655086,0.032598883
728,0.000634319,0.032175602
729,0.000712482,0.032049432
730,0.000783383,0.031809302
731,0.000780655,0.032570393
732,0.000804959,0.034000999
733,0.000615727,0.034585045
734,0.000679552,0.035130425
735,0.000723906,0.034829245
736,0.000583814,0.034015244
737,0.000648333,0.033795464
738,0.000703324,0.033543124
739,0.000709892,0.033050653
740,0.000660034,0.033217523
741,0.000663688,0.033233803
742,0.000741064,0.032692493
743,0.000485672,0.032659933
744,0.000629001,0.032285492
745,0.000699717,0.032191882
746,0.000683714,0.031756392
747,0.000684177,0.031215081
748,0.000670949,0.031052281
749,0.000803918,0.030673771
750,0.000565869,0.03008769
751,0.000683899,0.02976209
752,0.000641164,0.029355089
753,0.000719234,0.029167869
754,0.000651802,0.028899249
755,0.000677147,0.028325378
756,0.000728808,0.027877678
757,0.000676037,0.027584638
758,0.000671689,0.026355496
759,0.000634042,0.019017279
760,0.000676823,0.00974174
761,0.000644171,0.009367299
762,0.000586173,0.010791801
763,0.000690051,0.010563881
764,0.000638806,0.011959892
765,0.000739954,0.014503645
766,0.000582011,0.017413697
767,0.000594961,0.02027084
768,0.000856135,0.021821512
769,0.000656612,0.022509343
770,0.000784771,0.022692493
771,0.000665723,0.022403522
772,0.000617623,0.022643653
773,0.000715997,0.022562253
774,0.000706886,0.022073852
775,0.000717939,0.021837792
776,0.000621184,0.021972102
777,0.000645049,0.021756392
778,0.000589734,0.021158101
779,0.000683529,0.020917971
780,0.000625809,0.020616791
781,0.000679598,0.020592371
782,0.000695092,0.02025863
783,0.000697173,0.01990454
784,0.000617947,0.01975395
785,0.000692178,0.019302179
786,0.000668591,0.018870759
787,0.000604985,0.018509546
788,0.000686119,0.017971288
789,0.000780793,0.017674178
790,0.000690559,0.017377067
791,0.000694814,0.017132867
792,0.000598106,0.016807267
793,0.000711973,0.016506087
794,0.000815065,0.016449106
795,0.000641627,0.016457246
796,0.000593527,0.015785696
797,0.000620999,0.015972916
798,0.000602407,0.015985126
799,0.000703047,0.015740926
800,0.000632053,0.015146705
801,0.000614987,0.015415325
802,0.000634412,0.015362415
803,0.000750638,0.015134495
804,0.000683761,0.015162985
805,0.000806508,0.015366485
806,0.000657999,0.015443815
807,0.000642517,0.015054113
808,0.000781765,0.014825175
809,0.000631637,0.014613535
810,0.000616467,0.014287934
811,0.000654392,0.013885004
812,0.000785973,0.013323343
813,0.000640841,0.012513413
814,0.000742174,0.011972102
815,0.000793651,0.011211011
816,0.000766641,0.010730751
817,0.000773717,0.010669701
818,0.000598244,0.01018944
819,0.000656149,0.01037259
820,0.000652299,0.010820291
821,0.000658971,0.011235431
822,0.000650276,0.01029526
823,0.000635291,0.009477189
824,0.000705406,0.01013653
825,0.000767473,0.010572021
826,0.000689079,0.010808081
827,0.000717107,0.010576091
828,0.000654808,0.00997373
829,0.000631313,0.00972546
830,0.000681402,0.00991268
831,0.000671793,0.009974747
832,0.000586913,0.00980279
833,0.000656242,0.00980686
834,0.000627613,0.00975395
835,0.000649166,0.01009176
836,0.000618224,0.00978651
837,0.000716691,0.01002257
838,0.000625254,0.00966441
839,0.000672753,0.00987198
840,0.000644032,0.00966034
841,0.000715847,0.00951382
842,0.000649489,0.00950975
843,0.000671597,0.009342879
844,0.000738891,0.009277759
845,0.000763403,0.009245199
846,0.000713684,0.008952159
847,0.000677748,0.008911459
848,0.000652357,0.009094609
849,0.00070107,0.008735431
850,0.000712066,0.008406778
851,0.000638759,0.008427128
852,0.000575304,0.008504459
853,0.000709244,0.008248048
854,0.000628446,0.007263107
855,0.000695554,0.007446257
856,0.000682373,0.007743368
857,0.000720576,0.007893958
858,0.000650646,0.007698598
859,0.000734913,0.007820698
860,0.000703787,0.007853258
861,0.000675852,0.007576498
862,0.000681263,0.007674178
863,0.000758304,0.007645688
864,0.000606153,0.007364857
865,0.000669978,0.007153217
866,0.000678951,0.006624117
867,0.000662578,0.006611907
868,0.000653004,0.006705517
869,0.000704481,0.007018907
870,0.000608974,0.006858142
871,0.000625208,0.006742147
872,0.000694121,0.006542717
873,0.000635938,0.006677027
874,0.000693057,0.006567137
875,0.000791893,0.006388056
876,0.000723686,0.006278166
877,0.000706007,0.006151996
878,0.000669099,0.006160136
879,0.000704203,0.006217116
880,0.000681911,0.006286306
881,0.000699058,0.006195749
882,0.000706793,0.006025826
883,0.000738752,0.006379916
884,0.000720899,0.006013616
885,0.000720021,0.005944426
886,0.000728068,0.005883376
887,0.000728334,0.005924076
888,0.000689172,0.005785696
889,0.000725247,0.005932216
890,0.000688293,0.005818256
891,0.000686906,0.005578126
892,0.000704712,0.005402098
893,0.000648611,0.005443815
894,0.000727513,0.005228105
895,0.000714841,0.004845525
896,0.000761553,0.004650535
897,0.000634747,0.004367299
898,0.000636724,0.004080364
899,0.000661052,0.003662634
900,0.000697404,0.003657084
901,0.000610316,0.003632664
902,0.00065993,0.003775114
903,0.000680061,0.003893144
904,0.000779036,0.004446664
905,0.000741804,0.004353054
906,0.000728334,0.003997946
907,0.000739307,0.003905354
908,0.000713407,0.003534984
909,0.000682096,0.003534984
910,0.000724091,0.003449698
911,0.000652368,0.003424076
912,0.000691947,0.003384393
913,0.000749944,0.003241943
914,0.000645743,0.003262293
915,0.000670545,0.003216506
916,0.000666648,0.003209383
917,0.000661931,0.003250083
918,0.000621832,0.003164613
919,0.000864205,0.003469863
920,0.000740879,0.003425093
921,0.000709614,0.003201243
922,0.000673863,0.003307063
923,0.000710644,0.003185981
924,0.000692224,0.003046583
925,0.000737087,0.003018093
926,0.000709059,0.003127983
927,0.000705753,0.002960095
928,0.000706007,0.002720983
929,0.000702723,0.002529693
930,0.000607309,0.002183742
931,0.000699578,0.001904484
932,0.000650137,0.001834462
933,0.000611842,0.001484441
934,0.000678315,0.001452298
935,0.000713083,0.001540497
936,0.000708689,0.001463351
937,0.000747354,0.001326821
938,0.00071772,0.001300783
939,0.000769971,0.001805972
940,0.000793605,0.001687572
941,0.000711337,0.00164627
942,0.000772422,0.001752692
943,0.000727976,0.001711622
944,0.000760166,0.001727902
945,0.000618826,0.001452159
946,0.000649489,0.001433011
947,0.000760952,0.001508862
948,0.000762675,0.001449939
949,0.000770757,0.001577127
950,0.000682558,0.001484071
